evidence_class	contrast	cell_type	mechanism_family	discovery_NES	discovery_global_FDR	replication_NES	replication_global_FDR	discovery_LOO_direction_fraction	replication_LOO_direction_fraction	interpretation	heterogeneity_flag	source
stable discordant axis	ALS_vs_Control	Astrocyte	Small GTPase	1.67538289060368	0.000856153027991897	-1.37334706733224	0.00421268449695208	1	1	Both cohorts significant and internally stable, but effect direction differs	strong discordance; retain as biological/model heterogeneity	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
stable discordant axis	ALS_vs_Control	OPC	Small GTPase	1.92895220727043	0.000064375098727079	-1.72433039365185	0.00000201838015179447	1	1	Both cohorts significant and internally stable, but effect direction differs	strong discordance; retain as biological/model heterogeneity	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
stable discordant axis	ALS_vs_FTD	Oligodendrocyte	Mitochondrial energy	-2.19372712824255	0.000562972475906921	1.39835386764301	0.014916121643777	1	1	Both cohorts significant and internally stable, but effect direction differs	strong discordance; retain as biological/model heterogeneity	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	ALS_vs_Control	OPC	Protein folding	1.46135177145963	0.0188944288966703	1.58678808482771	0.0026040569169895	0.941176470588235	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	ALS_vs_FTD	OPC	Axon development	-2.1138937290066	0.0000177817237848837	-1.97385205071205	0.00000000595420829798025	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	ALS_vs_FTD	OPC	Small GTPase	-1.41598854946698	0.0209085896390258	-1.73890158493508	0.00000105707760431561	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	ALS_vs_FTD	OPC	Synapse / junction assembly	-1.84747532200089	0.000798082707668802	-2.01801819925782	0.00000000095	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	Astrocyte	Axon development	1.64793064899862	0.00584735676352736	1.33345184573698	0.0137635190727288	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	Astrocyte	Small GTPase	1.67635785211178	0.000490430425460588	1.5450456354864	0.000125365064230319	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	Astrocyte	Synapse / junction assembly	1.62158793371156	0.0127317654003532	1.30057196334766	0.013383207575266	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	Oligodendrocyte	Mitochondrial energy	2.00565036910229	0.00310560938645105	1.78545509256534	0.000271411411759724	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	Oligodendrocyte	Protein folding	1.90623831061021	0.000064375098727079	1.76135842209651	0.0000566738317960331	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	Oligodendrocyte	Protein stabilization	1.60945522210013	0.00122547196288273	1.72783148209309	0.000249509415091195	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	OPC	Axon development	2.28832436912744	0.00000438268536778105	1.56079971579756	0.0000933930923128156	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	OPC	Small GTPase	1.81066808677671	0.000129093145416057	1.29768643179756	0.0152995540323966	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
strict replicated axis	FTD_vs_Control	OPC	Synapse / junction assembly	2.01168591718957	0.000528403557217806	1.47485713114834	0.000380414942101717	1	1	Programme-level exact-estimand replication	none at direction level	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
