cell_type	contrast	gene	feature	logFC	logCPM	F	PValue	FDR	retained_features	cell_type_label	analysis	n_donors	within_17_FDR	global_17_axis_FDR	technical_logFC	technical_PValue	technical_full_FDR	age_complete_case_logFC	age_complete_case_PValue	age_complete_case_full_FDR	technical_direction_stable	age_direction_stable	SVA12_logFC	SVA12_t	SVA12_PValue	SVA12_full_FDR	SVA12_direction_stable	valid_deletions	LOO_direction_fraction	LOO_stable_90pct	final_strict_single_gene	contrast_label	axis	fc_lab
Exc_Neurons	ALS_vs_ALSFTD	HSP90AB1	HSP90AB1	0.817859596379925	8.09665248386014	10.6462566477643	0.00164190134702095	0.0317396609650845	22094	Excitatory neuron	primary_sex_adjusted	77	0.0279123228993562	0.0260772566879798	0.728881577412843	0.00569002783463959	0.0724313083058162	0.700329078874089	0.0251459647453078	0.162412690562659	TRUE	TRUE	0.523287687590313	5.72950817375528	2.96796345151703e-07	5.75212144717696e-05	TRUE	77	1	TRUE	TRUE	ALS vs ALS-FTD	Excitatory neuron | HSP90AB1	0.82
Inh_Neurons	ALSFTD_vs_Control	COX7C	COX7C	-0.730851208691696	5.45580278074905	12.6746944894397	0.00064731025836119	0.0197834197711639	16626	Inhibitory neuron	primary_sex_adjusted	76	0.00366809146404674	0.015692593567583	-0.499815362353227	0.0217103860025223	0.131185183229689	-0.85961358754649	0.00100747631255163	0.0259019887454063	TRUE	TRUE	-0.341678571548247	-3.71627162515345	0.000413898375613741	0.0193844349097297	TRUE	76	1	TRUE	TRUE	ALS-FTD vs control	Inhibitory neuron | COX7C	-0.73
Inh_Neurons	ALSFTD_vs_Control	HSP90AB1	HSP90AB1	-0.699757723014451	8.03338991422764	14.9472048566646	0.000233234832241529	0.0116998878201692	16626	Inhibitory neuron	primary_sex_adjusted	76	0.00366809146404674	0.0078716755881516	-0.563941871373299	0.00469929829230482	0.0580576638200118	-0.665989046000662	0.00544052624929543	0.0654182809859349	TRUE	TRUE	-0.558772564385198	-6.66034030334829	7.93439346617169e-09	1.46574695298412e-05	TRUE	76	1	TRUE	TRUE	ALS-FTD vs control	Inhibitory neuron | HSP90AB1	-0.70
Inh_Neurons	ALSFTD_vs_Control	MAP1B	MAP1B	-0.3232173365567	8.91006773319258	9.90707412544375	0.00233177124430859	0.0378191272348363	16626	Inhibitory neuron	primary_sex_adjusted	76	0.00991002778831151	0.0299799159982533	-0.192095176511628	0.0611168962635796	0.226052735934027	-0.415326930922188	0.00259513478635143	0.0426625186944715	TRUE	TRUE	-0.246500678761837	-4.55998647772452	2.17345455778712e-05	0.00325548247547465	TRUE	76	1	TRUE	TRUE	ALS-FTD vs control	Inhibitory neuron | MAP1B	-0.32
Inh_Neurons	ALS_vs_ALSFTD	HSP90AB1	HSP90AB1	0.960000973375639	8.03338991422764	26.4905777762634	2.05520551358089e-06	0.000299735498849086	16626	Inhibitory neuron	primary_sex_adjusted	76	3.49384937308751e-05	0.00055490548866684	0.847016670966267	4.20856092218683e-05	0.00241663677671353	0.830754847009245	0.000714374240897665	0.0248274333407102	TRUE	TRUE	0.543090726798502	6.33915358263076	2.83819204151375e-08	1.74769558822991e-05	TRUE	76	1	TRUE	TRUE	ALS vs ALS-FTD	Inhibitory neuron | HSP90AB1	0.96
Inh_Neurons	ALS_vs_ALSFTD	MAP1B	MAP1B	0.35642601710691	8.91006773319258	11.5188893541301	0.0010849735871609	0.0147456850653029	16626	Inhibitory neuron	primary_sex_adjusted	76	0.00922227549086767	0.0225340668102649	0.245453973847352	0.0177753316500704	0.0876544457174942	0.379469779984403	0.00568346104958988	0.0710483100627112	TRUE	TRUE	0.191403020445902	3.46730274431634	0.000912424072526413	0.0205555049184609	TRUE	76	1	TRUE	TRUE	ALS vs ALS-FTD	Inhibitory neuron | MAP1B	0.36
Oligodendrocytes	ALSFTD_vs_Control	COX5B	COX5B	-1.09642016674557	5.48697272459495	19.6615235145496	2.91673655407171e-05	0.00158451090065639	12712	Oligodendrocyte	primary_sex_adjusted	79	0.000233338924325737	0.0019687971739984	-1.05385229468716	0.000167136606049653	0.00295397955954716	-0.935166583741625	0.00301417624008483	0.0416156848449134	TRUE	TRUE	-0.557499836693846	-3.36827956819494	0.00124373682477278	0.0251952792690889	TRUE	79	1	TRUE	TRUE	ALS-FTD vs control	Oligodendrocyte | COX5B	-1.10
Oligodendrocytes	ALSFTD_vs_Control	COX7C	COX7C	-1.08165605333844	4.83408787639023	21.8832047692527	1.14433906573789e-05	0.000887002329491464	12712	Oligodendrocyte	primary_sex_adjusted	79	0.000183094250518062	0.00132608526116121	-1.17143395684032	8.97965375392707e-06	0.000456139902496531	-1.20898665322344	3.64321150961492e-05	0.00428222436023941	TRUE	TRUE	-0.669786040354633	-4.23553652082022	6.61419092505278e-05	0.0036409410444039	TRUE	79	1	TRUE	TRUE	ALS-FTD vs control	Oligodendrocyte | COX7C	-1.08
Oligodendrocytes	ALSFTD_vs_Control	HSP90AB1	HSP90AB1	-0.819910406533145	7.73845923256459	15.0375548492321	0.000215368831167301	0.00595167082999724	12712	Oligodendrocyte	primary_sex_adjusted	79	0.000861475324669204	0.0078716755881516	-0.978428870367714	5.90911378742046e-05	0.00148201667092514	-0.640421660855692	0.0131290180489531	0.0980363277050038	TRUE	TRUE	-0.772822260773478	-5.20158284852226	2.15256289074189e-06	0.000346371891988745	TRUE	79	1	TRUE	TRUE	ALS-FTD vs control	Oligodendrocyte | HSP90AB1	-0.82
Oligodendrocytes	ALSFTD_vs_Control	MAP1B	MAP1B	-0.520361850397612	8.54039538046521	9.91958292536804	0.0023012907225296	0.026378726478626	12712	Oligodendrocyte	primary_sex_adjusted	79	0.00526009308006766	0.0299799159982533	-0.462314935632724	0.0109167108469165	0.0551686642873174	-0.663348856368511	0.000739740547970837	0.0197293854581298	TRUE	TRUE	-0.406726677498934	-3.5383982449964	0.000735034559074089	0.0178651639858275	TRUE	79	1	TRUE	TRUE	ALS-FTD vs control	Oligodendrocyte | MAP1B	-0.52
