cell_type_label	family_id	z_disc	z_git	z_ruf	n_disc	n_git	n_ruf	powerA	powerB	in_final10	direction_class	point_label
OPC	mitochondrial_energy	0.620534936412234	6.00566175114347	-5.1825090870217	17	37	36	0.998	0.944	TRUE	Both C9 flip	OPC · mitochondrial energy
Astrocyte	mitochondrial_energy	-1.42515488496617	5.34634283165214	-6.03649257940802	17	37	75	1	0.81	TRUE	One C9 flip	Astro · mitochondrial energy
Oligodendrocyte	mitochondrial_energy	0.269506506274966	6.11759184711787	-5.32022668187874	17	37	79	0.999	0.662	TRUE	Both C9 flip	Oligo · mitochondrial energy
OPC	small_GTPase	3.99617152602005	-4.75157525108181	2.76163787168267	17	37	36	0.49	0.3	FALSE	One C9 flip	
OPC	axon_development	1.20169552410347	-3.33547515426863	2.52555113507337	17	37	36	0.364	0.213	FALSE	One C9 flip	
OPC	synapse_junction	0.620534936412234	-5.14825095956606	2.41370873815868	17	37	36	0.308	0.177	FALSE	One C9 flip	
Astrocyte	synapse_junction	2.31189654280971	1.21456404461656	2.50056230815693	17	37	75	0.351	0.065	TRUE	Concordant	
Oligodendrocyte	heat_response	1.45254154997401	3.88607081082683	2.41370873815868	17	37	79	0.308	0.051	FALSE	Concordant	
OPC	protein_folding	2.34760732452983	3.0109803641813	1.29612130499193	17	37	36	0.016	0.009	FALSE	Concordant	
OPC	protein_stabilization	1.81614429693282	0.433934970416483	1.21333962248852	17	37	36	0.012	0.007	FALSE	Concordant	
Astrocyte	small_GTPase	3.3339719121628	-2.86178057384113	1.21333962248852	17	37	75	0.012	0.003	FALSE	One C9 flip	
Oligodendrocyte	protein_folding	1.57046516348881	6.11759184711787	1.15321591605028	17	37	79	0.009	0.002	FALSE	Concordant	
Astrocyte	protein_folding	1.81614429693282	-0.166451791771899	0.97259221421621	17	37	75	0.004	0.001	FALSE	One C9 flip	
OPC	heat_response	1.16358159438801	1.40677780996965	0.596450363629181	17	37	36	0.001	0	FALSE	Concordant	
Oligodendrocyte	protein_stabilization	1.2802576250121	5.27018254055606	0.633930582224637	17	37	79	0.001	0	FALSE	Concordant	
Oligodendrocyte	axon_development	0.271114161306968	0.233720165448798	0.615215924571284	17	37	79	0.001	0	FALSE	Concordant	
Astrocyte	protein_stabilization	1.38788503912226	-1.92795880379777	-0.45231829563806	17	37	75	0	0	FALSE	One C9 flip	
Oligodendrocyte	synapse_junction	-0.414432608206724	0.0958860032907895	0.45231829563806	17	37	79	0	0	FALSE	One C9 flip	
Oligodendrocyte	small_GTPase	2.33727755847296	1.11315911041284	0.38485962354183	17	37	79	0	0	FALSE	Concordant	
Astrocyte	heat_response	1.54322947900945	-0.595101480775895	0.173248978885218	17	37	75	0	0	FALSE	One C9 flip	
Astrocyte	axon_development	0.756663899758783	1.94538023689881	0.159603963137947	17	37	75	0	0	FALSE	Concordant	
