dataset	cell_type	n	rho	p	dataset_label
GSE296710_zanovello	ASC	17	-0.51	0.0366	GSE296710 Zanovello
GSE296710_zanovello	EX	17	0.35	0.168	GSE296710 Zanovello
GSE296710_zanovello	IN	17	-0.429	0.0858	GSE296710 Zanovello
GSE296710_zanovello	MG	17	-0.321	0.209	GSE296710 Zanovello
GSE296710_zanovello	ODC	17	-0.625	0.0073	GSE296710 Zanovello
GSE296710_zanovello	OPC	17	-0.699	0.00181	GSE296710 Zanovello
GSE296714_humphrey	ASC	17	-0.24	0.353	GSE296714 Humphrey
GSE296714_humphrey	EX	17	0.123	0.639	GSE296714 Humphrey
GSE296714_humphrey	IN	17	-0.395	0.117	GSE296714 Humphrey
GSE296714_humphrey	MG	17	-0.27	0.295	GSE296714 Humphrey
GSE296714_humphrey	ODC	17	-0.449	0.0709	GSE296714 Humphrey
GSE296714_humphrey	OPC	17	-0.51	0.0366	GSE296714 Humphrey
