dataset	symbol	KD_log2FC	FDR	dataset_label	significant
GSE296710_zanovello	HSPH1	-0.336	1.73e-05	GSE296710	FDR < 0.05
GSE296710_zanovello	DNAJB1	-0.229	0.000163	GSE296710	FDR < 0.05
GSE296710_zanovello	CHORDC1	-0.138	0.0204	GSE296710	FDR < 0.05
GSE296710_zanovello	HSP90AB1	0.111	0.0252	GSE296710	FDR < 0.05
GSE296710_zanovello	HSP90AA1	0.089	0.0423	GSE296710	FDR < 0.05
GSE296710_zanovello	BAG3	-0.122	0.063	GSE296710	not significant
GSE296710_zanovello	HSP90B1	-0.049	0.547	GSE296710	not significant
GSE296710_zanovello	CCT5	0.009	0.815	GSE296710	not significant
GSE296710_zanovello	CCT8	0.007	0.86	GSE296710	not significant
GSE296714_humphrey	DNAJB1	-1.576	0.000815	GSE296714	FDR < 0.05
GSE296714_humphrey	HSPH1	-1.187	0.00123	GSE296714	FDR < 0.05
GSE296714_humphrey	CHORDC1	-0.925	0.00178	GSE296714	FDR < 0.05
GSE296714_humphrey	CCT8	-0.339	0.0498	GSE296714	FDR < 0.05
GSE296714_humphrey	CCT5	-0.273	0.174	GSE296714	not significant
GSE296714_humphrey	BAG3	-0.293	0.237	GSE296714	not significant
GSE296714_humphrey	HSP90B1	-0.379	0.444	GSE296714	not significant
GSE296714_humphrey	HSP90AA1	0.475	0.594	GSE296714	not significant
GSE296714_humphrey	HSP90AB1	-0.138	0.804	GSE296714	not significant
