cell_type	contrast	set_id	threshold	minimum_nuclei	analysis_role	set_label	NES	pval	padj	comparison_FDR	global_primary_FDR	direction	size	ES	ranked_genes	leadingEdge	log2err	cell	contrast_label	sig	n_samples	n_donors	duplicate_correlation	donor_aware_model	leaveouts_tested	loo_direction_retained_fraction	programme_test	primary_FDR_family	statistical_unit
Astro	ALS_vs_Ctrl_mean	axon_development	min30_primary	30	primary	Axon development	1.02692101912002	0.399334442595674	0.399334442595674	0.399334442595674	0.449251247920133	positive	76	0.246697565251962	15416	MAPT;TAOK2;STK11;SPTBN4;PRICKLE1;NTNG1;LLGL1;ULK1;KLF7;CNTNAP1;RAB8A;DCC;ACTG1;ANK3;OLIG2;MAP1A;MAP1B;DSCAML1;S100A6;BAIAP2;APLP1;ADGRB1	0.0813027345384498	Astrocyte	ALS vs control	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_Ctrl_mean	heat_response	min30_primary	30	primary	Heat response	1.39148336320641	0.0837988826815642	0.146648044692737	0.146648044692737	0.122775107184617	positive	25	0.419524521772023	15416	HSPB1;EIF2B5;TRPM2;NOS1;LRP11;EIF2B1;DNAJA3;EIF2B2;HSPB6;AKT1;MAP2K7	0.211400189384923	Astrocyte	ALS vs control	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_Ctrl_mean	mitochondrial_energy	min30_primary	30	primary	Mitochondrial energy	-1.33692123269839	0.112526539278132	0.149878345498784	0.149878345498784	0.154112434228746	negative	21	-0.409833239634501	15416	COX7A2;COX6B1;DGUOK;COX4I1;COX5B;COX7C;UQCRH;COX7B;UQCRC1;COX5A;NDUFA12;UQCRB	0.193813302725311	Astrocyte	ALS vs control	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	0.9375	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_Ctrl_mean	protein_folding	min30_primary	30	primary	Protein folding	1.32481016532058	0.0413314009940289	0.096439935652734	0.096439935652734	0.0693482401680361	positive	149	0.284902321019991	15416	PDIA3;ENGASE;DNAJB13;CD74;PPIF;DNAJB2;TAPBP;PDIA5;CLU;PDIA6;DNAJB1;WIPF1;PDRG1;PTGES3;CALR;DNAJC7;HSPA5;PPIB;P4HB;HSPB1;PDIA4;UNC45A;RP2;MPDU1;BAG3;DNAJC4;COX19;DNAJC21;RIC8A;DNAJB5;DNAJA3;DNAJC5;CANX;CHORDC1;KHSRP;TBCD;QSOX2;HSPA9;HSPB6;TTC4;RIC8B;FKBP10;QSOX1;MESD;DNAJC18	0.321775918075361	Astrocyte	ALS vs control	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	0.9375	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_Ctrl_mean	protein_stabilization	min30_primary	30	primary	Protein stabilization	1.18196356169266	0.128467153284672	0.149878345498784	0.149878345498784	0.165172054223149	positive	194	0.243118857912865	15416	FLNA;HSPA1B;USP2;TMC8;CD74;PIM1;LAMP1;FLOT2;PRKCD;TNIP2;GRN;CLU;TMC6;HCFC1;PDRG1;PTGES3;SMAD3;AAK1;HSPA1A;CALR;PAQR4;LAMP2;PPIB;HSPB1;OTUD3;RASSF1;UBE2B;WIZ;CHP1;PEX6;BAG3;PML;IFT46;DVL1;COG7;DNAJA3;CDKN2A;BAG6;ATP1B2;EFNA1;ZSWIM7;SAV1;TBL1X;WFS1;RASSF2;UXT;TESC;USP36;MUL1	0.147331213699377	Astrocyte	ALS vs control	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_Ctrl_mean	small_GTPase	min30_primary	30	primary	Small GTPase	1.67538289060368	0.000231025420251782	0.00161717794176247	0.00161717794176247	0.000856153027991897	positive	177	0.349466756859107	15416	NUCB1;RALGDS;FGD3;RASGEF1B;PLCE1;FGD2;PLEKHG4B;MCF2L;ARHGEF3;RHOU;ARHGEF17;RGL3;DOCK8;ARHGAP15;RHOC;SIPA1;ARHGAP39;SRGAP2;RASGEF1C;DOCK2;ARHGEF10L;RASL12;RHOA;SH2D3C;ARHGAP1;RAPGEF3;ARHGAP25;TIAM2;RIT2;MYO9B;VAV2;PLD1;PLEKHG3;CHP1;RASGRP1;RHOG;ARHGAP22;VAV1;RAP1GAP;KNDC1;PLD2;DOCK10;DVL2;PREX1;AKAP13;RRAD;ARHGAP10;DOCK11;ARHGAP33;ABR;DEF6;ARAP1;ARHGAP6;ARHGEF40	0.518848077743792	Astrocyte	ALS vs control	TRUE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_Ctrl_mean	synapse_junction	min30_primary	30	primary	Synapse / junction assembly	1.58370889048007	0.00989685014138998	0.0346389754948649	0.0346389754948649	0.020783385296919	positive	63	0.392888900906335	15416	DNER;NLGN2;ADD2;MAPT;PLXNB2;PLXND1;SPOCK2;RHOA;DAG1;FZD5;PCDHB9;PLXNA1;PCDHB4;RAB29;PCDHB14;PCDHB10;PCDHB6;PLXNB1;PLXNA3	0.380730400722792	Astrocyte	ALS vs control	TRUE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_FTD_mean	axon_development	min30_primary	30	primary	Axon development	-1.69191337549945	0.00146044166322245	0.00511154582127857	0.00511154582127857	0.00400034020795714	negative	76	-0.420693114749432	15416	APP;NMNAT2;MARK2;GPM6B;ZPR1;CNTN4;MAP1A;TAOK2;MAP1B;PAK3;DOCK7;PARD3;SHTN1;MAPK8IP3;ACTB;PICALM;GRM7;APLP2;DCC;BRSK1;APBB1;SPAST;WNT7A;APLP1;CELSR2;ATL1;LLGL1;SPG11;DSCAML1;AMIGO1;MAP1S;PARD6B;RAB10;OLIG2;SLITRK5;PRICKLE1;TRIM46	0.45505986738723	Astrocyte	ALS vs FTD	TRUE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_FTD_mean	heat_response	min30_primary	30	primary	Heat response	-1.09377909596748	0.331658291457286	0.377708978328173	0.377708978328173	0.386934673366834	negative	25	-0.341120106725715	15416	EIF2B3;DNAJA1;SOD1;HSP90AA1;MTOR;MAP2K7;CRYAB;HSPB1;NOS1;DNAJA2;EIF2B4;PSIP1	0.0919686140000427	Astrocyte	ALS vs FTD	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
Astro	ALS_vs_FTD_mean	mitochondrial_energy	min30_primary	30	primary	Mitochondrial energy	-1.31471532449263	0.122033898305085	0.170847457627119	0.170847457627119	0.160169491525424	negative	21	-0.429257870299188	15416	UQCRB;COX4I1;COX7A2;COX6B1;COX5B;COX7C;UQCRH;C2orf69;COX6C;COX5A;MT-CO1	0.16440575583821	Astrocyte	ALS vs FTD	FALSE	31	16	0.579643633572217	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	16	1	FGSEA preranked NES from donor-aware pseudobulk gene statistics	BH across 63 frozen family-by-cell-type-by-contrast primary axes	biological donor; repeated regions donor-blocked
