cell_type	threshold	minimum_nuclei	analysis_role	set_id	set_label	NES_ALS_vs_Ctrl_mean	NES_ALS_vs_FTD_mean	NES_FTD_vs_Ctrl_mean	pval_ALS_vs_Ctrl_mean	pval_ALS_vs_FTD_mean	pval_FTD_vs_Ctrl_mean	comparison_FDR_ALS_vs_Ctrl_mean	comparison_FDR_ALS_vs_FTD_mean	comparison_FDR_FTD_vs_Ctrl_mean	global_primary_FDR_ALS_vs_Ctrl_mean	global_primary_FDR_ALS_vs_FTD_mean	global_primary_FDR_FTD_vs_Ctrl_mean	disease_control_pattern	direct_phenotype_direction	direct_phenotype_FDR_0_05	n_samples	n_donors	donor_aware_model	classification_test	primary_FDR_family	statistical_unit
Astro	min30_primary	30	primary	axon_development	Axon development	1.02692101912002	-1.69191337549945	1.64793064899862	0.399334442595674	0.00146044166322245	0.00222756448134375	0.399334442595674	0.00511154582127857	0.00389823784235157	0.449251247920133	0.00400034020795714	0.00584735676352736	shared_direction	FTD_higher	TRUE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Astro	min30_primary	30	primary	heat_response	Heat response	1.39148336320641	-1.09377909596748	1.44428495452126	0.0837988826815642	0.331658291457286	0.0464396284829721	0.146648044692737	0.377708978328173	0.0541795665634675	0.122775107184617	0.386934673366834	0.0750178613955704	shared_direction	FTD_higher	FALSE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Astro	min30_primary	30	primary	mitochondrial_energy	Mitochondrial energy	-1.33692123269839	-1.31471532449263	0.774592021664811	0.112526539278132	0.122033898305085	0.787539936102236	0.149878345498784	0.170847457627119	0.787539936102236	0.154112434228746	0.160169491525424	0.787539936102236	opposite_direction	FTD_higher	FALSE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Astro	min30_primary	30	primary	protein_folding	Protein folding	1.32481016532058	-1.69771836550436	1.84419732639559	0.0413314009940289	0.000187094094413113	4.51066345732279e-06	0.096439935652734	0.00130965866089179	3.15746442012595e-05	0.0693482401680361	0.000785795196535074	6.4375098727079e-05	shared_direction	FTD_higher	TRUE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Astro	min30_primary	30	primary	protein_stabilization	Protein stabilization	1.18196356169266	-1.35345250936694	1.62237930103362	0.128467153284672	0.0233533693177136	0.000261899442628797	0.149878345498784	0.0544911950746651	0.000611098699467194	0.165172054223149	0.0432724196181164	0.000916648049200791	shared_direction	FTD_higher	FALSE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Astro	min30_primary	30	primary	small_GTPase	Small GTPase	1.67538289060368	-1.31469391049289	1.67635785211178	0.000231025420251782	0.0386206896551724	7.78460992794584e-05	0.00161717794176247	0.0675862068965517	0.000272461347478104	0.000856153027991897	0.0675862068965517	0.000490430425460588	shared_direction	FTD_higher	FALSE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Astro	min30_primary	30	primary	synapse_junction	Synapse / junction assembly	1.58370889048007	-1.04259268020308	1.62158793371156	0.00989685014138998	0.377708978328173	0.00545647088586568	0.0346389754948649	0.377708978328173	0.00763905924021194	0.020783385296919	0.432648466084999	0.0127317654003532	shared_direction	FTD_higher	FALSE	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
OPC	min30_primary	30	primary	axon_development	Axon development	1.17893080311925	-2.1138937290066	2.28832436912744	0.185770750988142	5.64499167774086e-07	6.9566434409223e-08	0.282641509433962	3.9514941744186e-06	4.86965040864561e-07	0.229481515926529	1.77817237848837e-05	4.38268536778105e-06	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
OPC	min30_primary	30	primary	heat_response	Heat response	1.22913067382814	-1.50421835680148	1.65287895721478	0.20188679245283	0.0483592400690846	0.016733074334941	0.282641509433962	0.0564191134139321	0.016733074334941	0.244593613933237	0.0761658031088083	0.0319449600939783	shared_direction	FTD_higher	FALSE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
OPC	min30_primary	30	primary	mitochondrial_energy	Mitochondrial energy	0.964601724649418	-1.36081724236568	1.65964428122134	0.492452830188679	0.115716753022453	0.015444060006784	0.492452830188679	0.115716753022453	0.016733074334941	0.534905660377359	0.155109690221585	0.030405493138356	shared_direction	FTD_higher	FALSE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
