cell_type	contrast	set_id	set_label	threshold	minimum_nuclei	analysis_role	NES	pval	padj	comparison_FDR	global_primary_FDR	direction	size	ES	ranked_genes	leadingEdge	log2err	primary_NES	primary_pval	primary_comparison_FDR	primary_global_FDR	direction_retained	absolute_NES_difference	n_samples	n_donors	donor_aware_model	sensitivity_test	uncertainty_interval
Astro	ALS_vs_Ctrl_mean	axon_development	Axon development	min20_sensitivity	20	sensitivity	1.02461407509073	0.393258426966292	0.393258426966292	0.393258426966292		positive	76	0.246697565251962	15416	MAPT;TAOK2;STK11;SPTBN4;PRICKLE1;NTNG1;LLGL1;ULK1;KLF7;CNTNAP1;RAB8A;DCC;ACTG1;ANK3;OLIG2;MAP1A;MAP1B;DSCAML1;S100A6;BAIAP2;APLP1;ADGRB1	0.0802023444698144	1.02692101912002	0.399334442595674	0.399334442595674	0.449251247920133	TRUE	0.00230694402929399	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	axon_development	Axon development	min50_sensitivity	50	sensitivity	1.00026064449251	0.454545454545455	0.454545454545455	0.454545454545455		positive	81	0.234059964590147	15943	MAPT;STK11;TAOK2;SPTBN4;PRICKLE1;CNTNAP1;MAP7D2;NTNG1;KLF7;LLGL1;ULK1;MAP1B;S100A6;RAB8A;OLIG2;ACTG1;DCC;ANK3;ADGRB1;WNT7A;BAIAP2;PITPNA;DSCAML1;NTNG2	0.0770736734944102	1.02692101912002	0.399334442595674	0.399334442595674	0.449251247920133	TRUE	0.0266603746275131	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	heat_response	Heat response	min20_sensitivity	20	sensitivity	1.36918916796538	0.0884955752212389	0.154867256637168	0.154867256637168		positive	25	0.419524521772023	15416	HSPB1;EIF2B5;TRPM2;NOS1;LRP11;EIF2B1;DNAJA3;EIF2B2;HSPB6;AKT1;MAP2K7	0.199915231309662	1.39148336320641	0.0837988826815642	0.146648044692737	0.122775107184617	TRUE	0.0222941952410365	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	heat_response	Heat response	min50_sensitivity	50	sensitivity	1.37780748215972	0.0845864661654135	0.148026315789474	0.148026315789474		positive	25	0.414660824035552	15943	TRPM2;HSPB1;EIF2B5;NOS1;LRP11;HSPB6;EIF2B1;DNAJA3;EIF2B2;AKT1;MAP2K7	0.211400189384923	1.39148336320641	0.0837988826815642	0.146648044692737	0.122775107184617	TRUE	0.0136758810466917	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	mitochondrial_energy	Mitochondrial energy	min20_sensitivity	20	sensitivity	-1.34425536163202	0.114219114219114	0.15990675990676	0.15990675990676		negative	21	-0.409833239634501	15416	COX7A2;COX6B1;DGUOK;COX4I1;COX5B;COX7C;UQCRH;COX7B;UQCRC1;COX5A;NDUFA12;UQCRB	0.20207170902116	-1.33692123269839	0.112526539278132	0.149878345498784	0.154112434228746	TRUE	0.00733412893362928	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	mitochondrial_energy	Mitochondrial energy	min50_sensitivity	50	sensitivity	-1.10659217231387	0.329087048832272	0.383934890304317	0.383934890304317		negative	22	-0.334231098743599	15943	COX7A2;COX6B1;DGUOK;COX4I1;COX7C;COX5B;COX7B;UQCRH;UQCRC1	0.106729884364606	-1.33692123269839	0.112526539278132	0.149878345498784	0.154112434228746	TRUE	0.230329060384517	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	protein_folding	Protein folding	min20_sensitivity	20	sensitivity	1.3091712860178	0.0491551459293395	0.114695340501792	0.114695340501792		positive	149	0.284902321019991	15416	PDIA3;ENGASE;DNAJB13;CD74;PPIF;DNAJB2;TAPBP;PDIA5;CLU;PDIA6;DNAJB1;WIPF1;PDRG1;PTGES3;CALR;DNAJC7;HSPA5;PPIB;P4HB;HSPB1;PDIA4;UNC45A;RP2;MPDU1;BAG3;DNAJC4;COX19;DNAJC21;RIC8A;DNAJB5;DNAJA3;DNAJC5;CANX;CHORDC1;KHSRP;TBCD;QSOX2;HSPA9;HSPB6;TTC4;RIC8B;FKBP10;QSOX1;MESD;DNAJC18	0.252961123069611	1.32481016532058	0.0413314009940289	0.096439935652734	0.0693482401680361	TRUE	0.0156388793027862	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	protein_folding	Protein folding	min50_sensitivity	50	sensitivity	1.29837096868207	0.0545746388443018	0.127340823970037	0.127340823970037		positive	150	0.274892056854762	15943	PDIA3;ENGASE;DNAJB13;CD74;PPIF;TAPBP;WIPF1;DNAJB2;DNAJB1;PDIA5;CLU;PDIA6;PTGES3;HSPB1;PDRG1;HSPA5;CALR;DNAJC7;P4HB;PPIB;PDIA4;UNC45A;BAG3;COX19;RP2;DNAJC4;MPDU1;DNAJB5;DNAJC21;RIC8A;HSPB6;CHORDC1;TBCD;DNAJA3;DNAJC5;CANX;KHSRP;HSPA9;QSOX2;TTC4;RIC8B;FKBP10;QSOX1;LTBP4	0.245041785430996	1.32481016532058	0.0413314009940289	0.096439935652734	0.0693482401680361	TRUE	0.0264391966385156	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	protein_stabilization	Protein stabilization	min20_sensitivity	20	sensitivity	1.15904861790723	0.172262773722628	0.200973236009732	0.200973236009732		positive	194	0.243118857912865	15416	FLNA;HSPA1B;USP2;TMC8;CD74;PIM1;LAMP1;FLOT2;PRKCD;TNIP2;GRN;CLU;TMC6;HCFC1;PDRG1;PTGES3;SMAD3;AAK1;HSPA1A;CALR;PAQR4;LAMP2;PPIB;HSPB1;OTUD3;RASSF1;UBE2B;WIZ;CHP1;PEX6;BAG3;PML;IFT46;DVL1;COG7;DNAJA3;CDKN2A;BAG6;ATP1B2;EFNA1;ZSWIM7;SAV1;TBL1X;WFS1;RASSF2;UXT;TESC;USP36;MUL1	0.125033367555272	1.18196356169266	0.128467153284672	0.149878345498784	0.165172054223149	TRUE	0.0229149437854304	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	protein_stabilization	Protein stabilization	min50_sensitivity	50	sensitivity	1.12182672806501	0.201612903225806	0.282258064516129	0.282258064516129		positive	195	0.231254789146985	15943	FLNA;HSPA1B;USP2;PIM1;TMC8;CD74;LAMP1;FLOT2;PRKCD;TNIP2;CLU;HCFC1;GRN;TMC6;SMAD3;HSPA1A;PTGES3;AAK1;HSPB1;PDRG1;CALR;PPIB;LAMP2;PAQR4;UBE2B;RASSF1;OTUD3;WIZ;PML;CHP1;BAG3;DVL1;PEX6;EFNA1;IFT46;COG7;DNAJA3;ZSWIM7;CDKN2A;BAG6;ATP1B2;TESC;TBL1X;WFS1;SAV1;UXT;RTN4;MUL1;USP36;RASSF2;STK3;MSX1;TBRG1;CHEK2;RUVBL2;TAF9B;WDR81;CRTAP;NCLN	0.120985142145252	1.18196356169266	0.128467153284672	0.149878345498784	0.165172054223149	TRUE	0.0601368336276587	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
