cohort	cell_type	contrast	clr_effect	CI_low	CI_high	t	p_value	contrast_FDR	n_samples	n_donors	duplicate_correlation	analysis_role	compositional_fold_ratio	fold_ratio_CI_low	fold_ratio_CI_high	global_primary_FDR	cell	contrast_label	model_test	covariates	primary_FDR_family	statistical_unit
GSE219280	Astro	ALS_vs_Ctrl_mean	-0.118104563735835	-0.710169546847947	0.473960419376277	-0.399236155340216	0.691174370576124	0.970575539552179	33	17	0.236677165090426	primary	0.888603132093477	0.49156084780301	1.60634340569526	0.829409244691349	Astrocyte	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Endo	ALS_vs_Ctrl_mean	0.623598501563379	-0.00324049405633953	1.2504374971831	1.99104748570365	0.0511573567329795	0.716202994261713	33	17	0.236677165090426	primary	1.86562944758916	0.996764750677819	3.49187030675492	0.126388763693244	Endo	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_deep	ALS_vs_Ctrl_mean	-0.0221153317302035	-0.570928502900996	0.526697839440589	-0.0806494655198292	0.935996271270302	0.970575539552179	33	17	0.236677165090426	primary	0.978127419418083	0.565000590388414	1.69333141397209	0.960895481754126	Exc_deep	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_intermediate	ALS_vs_Ctrl_mean	0.0314020646606285	-0.51967347116049	0.582477600481747	0.114045888480804	0.909592303619331	0.970575539552179	33	17	0.236677165090426	primary	1.03190031113967	0.59471470777245	1.79046900675872	0.960895481754126	Exc_intermediate	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_upper	ALS_vs_Ctrl_mean	0.268063187607656	-0.337133072065571	0.873259447280883	0.886489310915007	0.378987243246673	0.970575539552179	33	17	0.236677165090426	primary	1.30742975076305	0.713813844899496	2.39470355666891	0.589535711717047	Exc_upper	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_LAMP5	ALS_vs_Ctrl_mean	0.00934719038212362	-0.49564717303035	0.514341553794597	0.0370447884273722	0.970575539552179	0.970575539552179	33	17	0.236677165090426	primary	1.00939101179542	0.609176537071673	1.67253686360135	0.970575539552179	Inh_LAMP5	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_PVALB	ALS_vs_Ctrl_mean	0.110214259905771	-0.441105415737901	0.661533935549443	0.400098439708615	0.690542683836052	0.970575539552179	33	17	0.236677165090426	primary	1.11651726971755	0.643324886430751	1.93776245855169	0.829409244691349	Inh_PVALB	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_SST	ALS_vs_Ctrl_mean	-0.249207124636186	-0.874805952501518	0.376391703229145	-0.797254701440878	0.428530317934108	0.970575539552179	33	17	0.236677165090426	primary	0.779418519887411	0.416942918559498	1.45701774056343	0.631620779598892	Inh_SST	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_VIP	ALS_vs_Ctrl_mean	-0.0526290711552527	-0.604643055589718	0.499384913279213	-0.190813099548843	0.849333328817141	0.970575539552179	33	17	0.236677165090426	primary	0.94873185923573	0.546269379645519	1.64770747595805	0.960895481754126	Inh_VIP	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_other_CGE	ALS_vs_Ctrl_mean	-0.0216885954115645	-0.577496984674357	0.534119793851228	-0.078097816297555	0.938017017902837	0.970575539552179	33	17	0.236677165090426	primary	0.978544910985277	0.561301556127615	1.70594599705239	0.960895481754126	Inh_other_CGE	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
