contrast	set_id	set_label	significant_axes	significant_cell_types	positive_axes	negative_axes	best_global_FDR	all_significant_axes_same_direction	consensus_direction	contrast_label	n_donors_min	n_donors_max	valid_LOO_min	valid_LOO_max	model_test	covariates	primary_FDR_family	estimand_boundary
C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	6	6	6	0	9.5e-10	TRUE	positive	C9-ALS vs C9-FTD (partition-bridged DiD)	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_C9_FTD_Frontal_batch_bridged	small_GTPase	Small GTPase	5	5	0	5	9.5e-10	TRUE	negative	C9-ALS vs C9-FTD (partition-bridged DiD)	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_C9_FTD_Frontal_batch_bridged	synapse_junction	Synapse/junction	4	4	0	4	9.5e-10	TRUE	negative	C9-ALS vs C9-FTD (partition-bridged DiD)	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_C9_FTD_Frontal_batch_bridged	axon_development	Axon development	3	3	0	3	9.5e-10	TRUE	negative	C9-ALS vs C9-FTD (partition-bridged DiD)	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_C9_FTD_Frontal_batch_bridged	protein_folding	Protein folding	2	2	2	0	1.76001564168324e-06	TRUE	positive	C9-ALS vs C9-FTD (partition-bridged DiD)	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_C9_FTD_Frontal_batch_bridged	heat_response	Heat response	1	1	1	0	0.0442477789705254	TRUE	positive	C9-ALS vs C9-FTD (partition-bridged DiD)	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	6	6	6	0	9.5e-10	TRUE	positive	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_Ctrl_Frontal	protein_folding	Protein folding	4	4	4	0	9.5e-10	TRUE	positive	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_Ctrl_Frontal	protein_stabilization	Protein stabilization	3	3	3	0	1.36288151938347e-07	TRUE	positive	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	3	3	0	3	2.62926569214427e-07	TRUE	negative	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
