cell_type	contrast	set_id	set_label	full_NES	full_pval	full_comparison_FDR	full_global_primary_FDR	valid_iterations	total_donors	direction_concordant_n	direction_concordant_fraction	sign_flip_n	median_LOO_NES	minimum_LOO_NES	maximum_LOO_NES	global_FDR_lt_0_05_n	global_FDR_lt_0_05_same_direction_n	robustness_label	inference_note	model_test	primary_FDR_family	LOO_boundary
Exc	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	axon_development	Axon development	-2.14297487990933	1e-10	2.33333333333333e-10	9.5e-10	37	37	37	1	0	-2.03764745376636	-2.48224387952939	-1.80393660928551	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	small_GTPase	Small GTPase	-1.92582231548431	1e-10	2.33333333333333e-10	9.5e-10	37	37	37	1	0	-1.85967828526841	-2.17162563063237	-1.6022107620828	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	synapse_junction	Synapse/junction	-2.20705219752994	1e-10	2.33333333333333e-10	9.5e-10	37	37	37	1	0	-2.10911000806795	-2.51212924975727	-1.86838314620737	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	axon_development	Axon development	-2.01025340336671	1e-10	1.75e-10	9.5e-10	37	37	37	1	0	-1.99634860662468	-2.32516371483403	-1.8022342869148	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	2.98699554307927	1e-10	1.75e-10	9.5e-10	37	37	37	1	0	2.89253053910913	2.58134424269767	3.6441131915883	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	small_GTPase	Small GTPase	-1.89525175157268	1e-10	1.75e-10	9.5e-10	37	37	37	1	0	-1.92470630251409	-2.22239301787681	-1.6857865444659	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	synapse_junction	Synapse/junction	-2.12148577782667	1e-10	1.75e-10	9.5e-10	37	37	37	1	0	-2.12561444500194	-2.48459455831145	-1.94071427928878	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	synapse_junction	Synapse/junction	-2.01801819925782	1e-10	7e-10	9.5e-10	37	37	37	1	0	-2.00461494905621	-2.23640609437129	-1.78750936075465	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	2.966595148465	1e-10	7e-10	9.5e-10	37	37	37	1	0	2.88448542531342	2.21317694987661	3.38548071045394	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	2.65187345690783	1e-10	7e-10	9.5e-10	37	37	37	1	0	2.67375535630876	2.08553439429268	3.02819998869755	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	3.05535203228201	1e-10	3.5e-10	9.5e-10	37	37	37	1	0	3.03087400691196	2.52599979001187	3.28692093909331	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_ALS_vs_Ctrl_Frontal	protein_folding	Protein folding	2.26311329971337	1e-10	3.5e-10	9.5e-10	37	37	37	1	0	2.28158814244305	1.93994226280468	2.50053414180338	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_FTD_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	1.89650768005307	1e-10	7e-10	9.5e-10	37	37	37	1	0	1.91684630591105	1.71657733103526	2.26437168780126	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
