estimand	cell_type	gene	discovery_log2FC	discovery_ci_low	discovery_ci_high	discovery_adjusted_p	replication_log2FC	replication_ci_low	replication_ci_high	replication_adjusted_p	same_direction	replication_class	discovery_n_donors	replication_n_donors	model_test	adjusted_p_scope	CI_definition
ALS_vs_Control	Astrocyte	ARHGAP35	-0.0456817675101422	-0.463612018805587	0.372248483785303	0.984314226178664	-0.246554079866454	-0.641428249698456	0.148320089965548	0.759648786880085	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	ARHGAP39	0.674841763372925	0.116934728175607	1.23274879857024	0.478731909957945	0.257139912717314	-0.417330669631603	0.931610495066231	0.86889197624114	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	BAG3	0.710033819056168	-0.165169505898574	1.58523714401091	0.718547702765492	-0.905718018034194	-1.74348578470073	-0.0679502513676584	0.563630827223094	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	BCR	0.0267535163567336	-0.327387330427325	0.380894363140792	0.989584471191857	0.179724537658106	-0.299640056246646	0.659089131562858	0.869490297184673	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	CCT5	-0.263596691192215	-2.19811092083177	1.67091753844734	0.979539429103907	0.297327457931852	-0.380773832433805	0.975428748297509	0.843540130914235	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	CCT8	-0.85249647921437	-1.9329482600331	0.227955301604363	0.731450805611097	0.28957295994109	-0.332990564400797	0.912136484282977	0.831088064215478	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	CHORDC1	0.584269803913648	-0.26110095861802	1.42964056644532	0.785663654096186	-0.119441607869794	-0.904882903557237	0.66599968781765	0.957466457742155	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	COA3	-3.11658695040696	-5.20567268709498	-1.02750121371894	0.340010064932213	0.350456242550383	-0.34093762902651	1.04185011412728	0.810655691673266	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	COX5B	-1.71864376135115	-4.35720405967866	0.91991653697636	0.805816763476292	0.378785240875896	-0.584240934194225	1.34181141594602	0.863864314534952	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	COX7C	-1.30000303067751	-3.32633338765689	0.726327326301874	0.810416998893458	0.586806188472513	-0.296818875453996	1.47043125239902	0.746748308585631	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	DOCK7	-0.0898895886294895	-0.415894618483315	0.236115441224336	0.949627902657532	-0.214045903939239	-0.605981973346857	0.17789016546838	0.795079174900251	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	HSP90AA1	0.675329936971736	-1.66743994912412	3.01809982306759	0.946070687960538	-0.0131777312500088	-0.966471817593218	0.940116355093201	0.99611509055299	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	HSP90AB1	-0.243084371005497	-2.13213005550161	1.64596131349062	0.981137219167196	0.166233493526952	-0.66646836200262	0.998935349056524	0.943781226018938	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Astrocyte	MAP1B	1.19331577249506	-0.813984388839645	3.20061593382976	0.832433297391629	0.852223905248788	0.0481000715363478	1.65634773896123	0.572508244038417	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
