cell_type	family	n_genes	genes	beta_per_pTDP_level	t	p_value	n_donors	model	global_FDR	se	ci_low	ci_high	cell	model_test	FDR_family	CI_definition	statistical_unit
ASC	Axon development	4	ARHGAP35;MAP1B;MAPT;DOCK7	0.105495224898462	0.575550769807451	0.579022869156098	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.183294385886679	-0.253761771439429	0.464752221236353	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
ASC	Heat response	5	BAG3;HSP90AA1;HSP90AB1;CHORDC1;MAPT	-0.568279289267182	-3.64404566386289	0.00536699830362737	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.0850310582778692	0.155947356780588	-0.873936108557135	-0.262622469977229	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
ASC	Mitochondrial energy	3	PARK7;COX5B;COX7C	-1.51949335390109	-1.87992687911809	0.0928171401278984	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.389831988537173	0.808272582715512	-3.10370761602349	0.0647209082213127	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
ASC	Protein folding	7	BAG3;HSP90AA1;HSP90AB1;CHORDC1;CCT5;CCT8;COA3	-0.814176016151047	-3.56478111936192	0.0060736470198478	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.0850310582778692	0.22839439193865	-1.2618290243508	-0.366523007951292	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
ASC	Protein stabilization	6	BAG3;HSP90AA1;HSP90AB1;PARK7;CCT5;CCT8	-0.840209208987552	-4.81756175868492	0.000950195429922524	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.039908208056746	0.174405487894961	-1.18204396526168	-0.498374452713428	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
ASC	Small GTPase	7	CHORDC1;ARHGAP35;PARK7;ARHGAP39;BCR;DOCK7;STARD13	0.0762066463294451	0.565727558588275	0.585405137383401	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.134705557776984	-0.187816246913444	0.340229539572334	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
ASC	Synapse / junction assembly	3	MAP1B;MAPT;BCR	0.104815287259335	0.357471903505787	0.728977917452836	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.293212658761133	-0.469881523912486	0.679512098431156	Astrocyte	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Axon development	4	ARHGAP35;MAP1B;MAPT;DOCK7	-0.317768868515147	-2.42018144616653	0.0460798964409554	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.276479378645733	0.131299605250044	-0.575116094805234	-0.06042164222506	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Heat response	5	BAG3;HSP90AA1;HSP90AB1;CHORDC1;MAPT	0.101800208337186	0.476378529294044	0.648315278180669	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.213696046478094	-0.317044042759878	0.52064445943425	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Mitochondrial energy	3	PARK7;COX5B;COX7C	1.36851653818969	1.62374256104798	0.148459583260496	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.443888729869403	0.84281620191469	-0.283403217563102	3.02043629394248	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Protein folding	7	BAG3;HSP90AA1;HSP90AB1;CHORDC1;CCT5;CCT8;COA3	0.532587665035578	1.36871269242444	0.213392554230447	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.527205133981105	0.389115749406978	-0.230079203802098	1.29525453387325	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Protein stabilization	6	BAG3;HSP90AA1;HSP90AB1;PARK7;CCT5;CCT8	0.249889620324506	0.696367029221	0.508654514910595	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.358847575830878	-0.453451628304015	0.953230868953027	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Small GTPase	7	CHORDC1;ARHGAP35;PARK7;ARHGAP39;BCR;DOCK7;STARD13	-0.148109888298767	-1.64991550135653	0.142946629508251	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.443888729869403	0.0897681658103059	-0.324055493286967	0.0278357166894326	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
EX	Synapse / junction assembly	3	MAP1B;MAPT;BCR	-0.383721406663289	-2.93533890395657	0.0218576462356901	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.192121521302606	0.130724737149113	-0.639941891475551	-0.127500921851027	Excitatory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
IN	Axon development	4	ARHGAP35;MAP1B;MAPT;DOCK7	-0.0815428612691375	-1.70628518816216	0.122141040220565	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.443888729869403	0.0477897023515555	-0.175210677878186	0.0121249553399113	Inhibitory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
IN	Heat response	5	BAG3;HSP90AA1;HSP90AB1;CHORDC1;MAPT	0.12160094650382	0.378840438266775	0.713588939469105	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.320981960268428	-0.5075236956223	0.75072558862994	Inhibitory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
IN	Mitochondrial energy	3	PARK7;COX5B;COX7C	0.0842543797561922	0.136591668983357	0.894360218117366	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.967099840731679	0.616833957614634	-1.12474017716849	1.29324893668088	Inhibitory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
IN	Protein folding	7	BAG3;HSP90AA1;HSP90AB1;CHORDC1;CCT5;CCT8;COA3	0.142965749628546	0.395803822428861	0.701468693813578	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.907243725803714	0.361203559761583	-0.564993227504156	0.850924726761248	Inhibitory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
IN	Protein stabilization	6	BAG3;HSP90AA1;HSP90AB1;PARK7;CCT5;CCT8	0.0208137933524108	0.0721329812267114	0.944073654047591	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.967099840731679	0.288547527059693	-0.544739359684586	0.586366946389408	Inhibitory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
IN	Small GTPase	7	CHORDC1;ARHGAP35;PARK7;ARHGAP39;BCR;DOCK7;STARD13	-0.00411338137285703	-0.0784300157859937	0.939202081967396	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.967099840731679	0.0524465197620375	-0.10690856010645	0.0986817973607364	Inhibitory neuron	OLS trend model of donor-cell-type mean logCPM family score; two-sided t test for ordinal pTDP coefficient	global BH across all fitted seven-family-by-cell-type pTDP trend tests	normal-approximation 95% CI from frozen coefficient and model SE	14 annotated Emory biological donors
