feature	cell_type	log2FC_per_pTDP_level	logCPM	F	p_value	FDR	layer	n_donors	model	target_global_FDR	loo_same_direction_fraction	model_test	candidate_FDR_family	transcriptome_FDR_family	valid_LOO_iterations	uncertainty_interval
ARHGAP35	ASC	0.283027000777007	8.23897060973075	0.774048021909151	0.388632345917559	0.896766460538804	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.700715896427115	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP35	EX	-0.725101748940058	7.74122044590616	5.18066019545223	0.0383117185064645	0.204762759933214	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.201632641280649	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP35	IN	-0.200202726335796	7.9812044805759	1.14074222063968	0.299080612825052	0.714116955079191	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.605254299511809	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP35	MG	-0.132045476012804	8.11623248560221	0.493755289199551	0.489804210615797	0.807580203641586	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.737806342573163	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP35	ODC	0.127783848907211	8.19550954513644	0.384489537456243	0.541845555032072	0.994521893732384	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.774918629708187	0.857142857142857	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP35	OPC	0.165328324318136	7.79157803323605	0.509759671362392	0.483968255469881	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.737806342573163	0.714285714285714	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP39	ASC	1.17822191359635	6.46159378818163	6.8439292632692	0.0159125740521456	0.44521253869437	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.129113785437042	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP39	EX	-0.713819464616934	5.85906520420737	4.94028579606937	0.0424374656782418	0.210661155031551	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.201632641280649	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP39	IN	-0.305969273202369	5.26220126555267	1.72775751548664	0.204609964113006	0.672258042372687	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.468242033258609	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP39	MG	-0.446828394946925	4.54523771801826	2.04122460014146	0.167393144274986	0.570845468917016	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.41499550351507	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
