condition_region	n_samples	n_donors	median_nuclei	minimum_nuclei_observed	median_library_size	analysis	cell_type	record_type	threshold	minimum_nuclei	analysis_role	contrast	ranked_genes	family_sets_tested	term_sets_tested	duplicate_gene_rows
ALS_MCX	6	6	463	85	3110496	all_disease_core_glia	Astro	donor_stratum_coverage								
ALS_FCX	6	6	471.5	133	2729288	all_disease_core_glia	Astro	donor_stratum_coverage								
FTD_MCX	4	4	212	55	1325252.5	all_disease_core_glia	Astro	donor_stratum_coverage								
FTD_FCX	4	4	250.5	39	2020894.5	all_disease_core_glia	Astro	donor_stratum_coverage								
Ctrl_MCX	6	6	504	283	5028944.5	all_disease_core_glia	Astro	donor_stratum_coverage								
Ctrl_FCX	5	5	528	360	5900862	all_disease_core_glia	Astro	donor_stratum_coverage								
ALS_MCX	6	6	196	136	1612350.5	all_disease_core_glia	OPC	donor_stratum_coverage								
ALS_FCX	6	6	185	99	1666698.5	all_disease_core_glia	OPC	donor_stratum_coverage								
FTD_MCX	5	5	118	80	915023	all_disease_core_glia	OPC	donor_stratum_coverage								
FTD_FCX	4	4	143	90	1398528	all_disease_core_glia	OPC	donor_stratum_coverage								
Ctrl_MCX	6	6	161	60	1663519.5	all_disease_core_glia	OPC	donor_stratum_coverage								
Ctrl_FCX	6	6	137	49	1334142	all_disease_core_glia	OPC	donor_stratum_coverage								
ALS_MCX	6	6	2592.5	492	11561736	all_disease_core_glia	Oligo	donor_stratum_coverage								
ALS_FCX	6	6	1501	762	6620889	all_disease_core_glia	Oligo	donor_stratum_coverage								
FTD_MCX	5	5	174	134	908324	all_disease_core_glia	Oligo	donor_stratum_coverage								
FTD_FCX	4	4	744.5	347	3560279.5	all_disease_core_glia	Oligo	donor_stratum_coverage								
Ctrl_MCX	6	6	2030	1307	14357989.5	all_disease_core_glia	Oligo	donor_stratum_coverage								
Ctrl_FCX	6	6	2353.5	1591	11775848	all_disease_core_glia	Oligo	donor_stratum_coverage								
ALS_MCX	6	6	134	40	5125307	ALS_focused	Exc_deep	donor_stratum_coverage								
