threshold	minimum_nuclei	analysis_role	cell_type	contrast	set_id	set_label	NES	pval	padj	comparison_FDR	global_primary_FDR	direction	size	ES	ranked_genes	leadingEdge	log2err	record_type	analysis	gene	log2FC	AveExpr	t	PValue	FDR	treat_t	treat_PValue	treat_FDR	n_samples	n_donors	duplicate_correlation	global_FDR	global_treat_FDR
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	axon_development	Axon development	1.02692101912002	0.399334442595674	0.399334442595674	0.399334442595674	0.449251247920133	positive	76	0.246697565251962	15416	MAPT;TAOK2;STK11;SPTBN4;PRICKLE1;NTNG1;LLGL1;ULK1;KLF7;CNTNAP1;RAB8A;DCC;ACTG1;ANK3;OLIG2;MAP1A;MAP1B;DSCAML1;S100A6;BAIAP2;APLP1;ADGRB1	0.0813027345384498	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	heat_response	Heat response	1.39148336320641	0.0837988826815642	0.146648044692737	0.146648044692737	0.122775107184617	positive	25	0.419524521772023	15416	HSPB1;EIF2B5;TRPM2;NOS1;LRP11;EIF2B1;DNAJA3;EIF2B2;HSPB6;AKT1;MAP2K7	0.211400189384923	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	mitochondrial_energy	Mitochondrial energy	-1.33692123269839	0.112526539278132	0.149878345498784	0.149878345498784	0.154112434228746	negative	21	-0.409833239634501	15416	COX7A2;COX6B1;DGUOK;COX4I1;COX5B;COX7C;UQCRH;COX7B;UQCRC1;COX5A;NDUFA12;UQCRB	0.193813302725311	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	protein_folding	Protein folding	1.32481016532058	0.0413314009940289	0.096439935652734	0.096439935652734	0.0693482401680361	positive	149	0.284902321019991	15416	PDIA3;ENGASE;DNAJB13;CD74;PPIF;DNAJB2;TAPBP;PDIA5;CLU;PDIA6;DNAJB1;WIPF1;PDRG1;PTGES3;CALR;DNAJC7;HSPA5;PPIB;P4HB;HSPB1;PDIA4;UNC45A;RP2;MPDU1;BAG3;DNAJC4;COX19;DNAJC21;RIC8A;DNAJB5;DNAJA3;DNAJC5;CANX;CHORDC1;KHSRP;TBCD;QSOX2;HSPA9;HSPB6;TTC4;RIC8B;FKBP10;QSOX1;MESD;DNAJC18	0.321775918075361	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	protein_stabilization	Protein stabilization	1.18196356169266	0.128467153284672	0.149878345498784	0.149878345498784	0.165172054223149	positive	194	0.243118857912865	15416	FLNA;HSPA1B;USP2;TMC8;CD74;PIM1;LAMP1;FLOT2;PRKCD;TNIP2;GRN;CLU;TMC6;HCFC1;PDRG1;PTGES3;SMAD3;AAK1;HSPA1A;CALR;PAQR4;LAMP2;PPIB;HSPB1;OTUD3;RASSF1;UBE2B;WIZ;CHP1;PEX6;BAG3;PML;IFT46;DVL1;COG7;DNAJA3;CDKN2A;BAG6;ATP1B2;EFNA1;ZSWIM7;SAV1;TBL1X;WFS1;RASSF2;UXT;TESC;USP36;MUL1	0.147331213699377	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	small_GTPase	Small GTPase	1.67538289060368	0.000231025420251782	0.00161717794176247	0.00161717794176247	0.000856153027991897	positive	177	0.349466756859107	15416	NUCB1;RALGDS;FGD3;RASGEF1B;PLCE1;FGD2;PLEKHG4B;MCF2L;ARHGEF3;RHOU;ARHGEF17;RGL3;DOCK8;ARHGAP15;RHOC;SIPA1;ARHGAP39;SRGAP2;RASGEF1C;DOCK2;ARHGEF10L;RASL12;RHOA;SH2D3C;ARHGAP1;RAPGEF3;ARHGAP25;TIAM2;RIT2;MYO9B;VAV2;PLD1;PLEKHG3;CHP1;RASGRP1;RHOG;ARHGAP22;VAV1;RAP1GAP;KNDC1;PLD2;DOCK10;DVL2;PREX1;AKAP13;RRAD;ARHGAP10;DOCK11;ARHGAP33;ABR;DEF6;ARAP1;ARHGAP6;ARHGEF40	0.518848077743792	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_Ctrl_mean	synapse_junction	Synapse / junction assembly	1.58370889048007	0.00989685014138998	0.0346389754948649	0.0346389754948649	0.020783385296919	positive	63	0.392888900906335	15416	DNER;NLGN2;ADD2;MAPT;PLXNB2;PLXND1;SPOCK2;RHOA;DAG1;FZD5;PCDHB9;PLXNA1;PCDHB4;RAB29;PCDHB14;PCDHB10;PCDHB6;PLXNB1;PLXNA3	0.380730400722792	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	axon_development	Axon development	1.64793064899862	0.00222756448134375	0.00389823784235157	0.00389823784235157	0.00584735676352736	positive	76	0.414109645907231	15416	TAOK2;NMNAT2;MAP1A;MAP1B;APP;MARK2;CNTN4;DCC;STK11;LLGL1;MAPK8IP3;PRICKLE1;SPTBN4;GRM7;APLP1;ACTB;WNT7A;OLIG2;NTNG1;DSCAML1;BRSK1;DOCK7;PAK3;MAP1S;BAIAP2;PITPNA;SHTN1;ANK3;SLITRK5;RAB10;RAB8A;CELSR2;S100A6;PARD3;GPM6B;APLP2;PICALM;ACTG1;DRD2;PLP1;MAPT;SPG11;AMIGO1;NPR2	0.431707695803346	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	heat_response	Heat response	1.44428495452126	0.0464396284829721	0.0541795665634675	0.0541795665634675	0.0750178613955704	positive	25	0.453454866006764	15416	HSPB1;EIF2B3;DNAJA1;MAP2K7;HSP90AA1;NOS1;SOD1;CRYAB;EIF2B4;LRP11;HSPA2;MTOR	0.261663521711573	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	mitochondrial_energy	Mitochondrial energy	0.774592021664811	0.787539936102236	0.787539936102236	0.787539936102236	0.787539936102236	positive	21	0.253503819309657	15416	UQCRB;COX4I1;COX6C;MT-CO1;C2orf69;COX5B;NDUFV3;COX7A2;COX7C;ATP5F1C;UQCRH	0.0463227785794633	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	protein_folding	Protein folding	1.84419732639559	0.00000451066345732279	0.0000315746442012595	0.0000315746442012595	0.000064375098727079	positive	149	0.415078129132913	15416	PDIA4;PPIA;DNAJB2;HSPH1;DNAJB1;HSP90AB1;PDIA5;TAPBP;PTGES3;COX19;FKBP4;KHSRP;DNAJB6;CHORDC1;HSPB1;CLU;DNAJA1;FKBP8;PDIA3;DNAJC5;HSP90B1;TBCD;TBCE;P4HB;PFDN2;HSP90AA1;AHSA1;RIC8B;TRAP1;HSPA5;HSPA4L;ZMYND10;CANX;BAG3;HSPA4;ST13;ATPAF2;CRYAB;CCT4;HSPA9;HSPD1;PDCL3;BAG2;DNAJC18;RP2	0.610526878385931	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	protein_stabilization	Protein stabilization	1.62237930103362	0.000261899442628797	0.000611098699467194	0.000611098699467194	0.000916648049200791	positive	194	0.354272134521984	15416	HSPA1B;HSP90AB1;PTGES3;HSPA1A;MSX1;PEX6;HSPB1;LAMP1;CLU;WIZ;PFDN2;BAG6;WFS1;MAPK8IP3;HSP90AA1;ATP1B1;PARK7;CBL;HIP1;NAA16;CFP;ANK2;USP36;PFN1;SOX4;FLNA;PRKCD;USP2;HCFC1;LAMP2;BAG3;DVL1;MORC3;PAK4;CRYAB;CCT4;NCLN;CCNH;TMC8;RASSF1;HSPD1;WDR81;RASSF2;PDCL3;BAG2;RPL23;RTN4;PINK1;PIN1;GRN;MDM4;ATP1B3;TMC6;AKT2;TUBA1A;FLOT2;TTI1;AAK1;USP27X;MTOR;COG7;VHL;BAG1;CDKN2A;TRIM44;CCT7;GAPDH;UBE2B;CALR;CRTAP;USP13;CCT3;PIM1;RUVBL2;GPIHBP1;CHEK2;TCP1;CD74	0.49849310876659	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	small_GTPase	Small GTPase	1.67635785211178	0.0000778460992794584	0.000272461347478104	0.000272461347478104	0.000490430425460588	positive	177	0.371688819274527	15416	RASGEF1B;NGEF;PLEKHG4B;MYO9B;ARAP1;MCF2L;SIPA1L3;SIPA1;RND2;TIAM2;RIT2;SOS1;SRGAP2;TIAM1;RHOA;PLCE1;FGD3;RRAD;DOCK9;ARHGAP6;RAC3;DOCK3;RASGRP2;FGD1;ARHGAP1;RHOC;RHOG;CCDC88A;RAPGEF1;ARHGAP28;GDI1;RAPGEF4;TNK2;ARHGAP10;PLEKHG3;FAM13A;ARHGEF10L;STARD13;RASL12;RASGRP1;DOCK7;ARHGEF4;RHOBTB1;ARHGEF40;RGL3;ARHGAP15;DOCK10;RALGPS1;ARHGEF17;ARHGAP35;OBSCN;ARHGAP22;SIPA1L1;RHOF;RASGEF1A;FGD2;RASGEF1C;PLD1;GNA13;ARHGAP39;PREX1;DOCK11;RHOQ;SOS2;ABR;ARHGAP33;MCF2;ARHGEF3;RAPGEF2;DOCK2;RAC1;RASGRP3;DOCK8;RUNDC3A;RASGRF1;ARHGEF1;VAV1;RHOU;ARHGAP23;TRIO;ARHGAP4;ARHGAP44;RABIF;PLEKHG5;ARHGAP20;RRAGC;RAPGEF5;NUCB1;ARHGEF2	0.538434096309916	seven_family_primary_axis															
min30_primary	30	primary	Astro	FTD_vs_Ctrl_mean	synapse_junction	Synapse / junction assembly	1.62158793371156	0.00545647088586568	0.00763905924021194	0.00763905924021194	0.0127317654003532	positive	63	0.42160694651981	15416	MAP1B;SDK2;ADD2;PLXNB1;NRXN2;PLXNB2;RHOA;SHANK3;SPOCK2;PLXND1;PLXNA3;NLGN3;NLGN1;SDK1;DNM3;PLXNA1;DSCAM;DAG1;KIRREL3	0.407017918923954	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_FTD_mean	axon_development	Axon development	-1.69191337549945	0.00146044166322245	0.00511154582127857	0.00511154582127857	0.00400034020795714	negative	76	-0.420693114749432	15416	APP;NMNAT2;MARK2;GPM6B;ZPR1;CNTN4;MAP1A;TAOK2;MAP1B;PAK3;DOCK7;PARD3;SHTN1;MAPK8IP3;ACTB;PICALM;GRM7;APLP2;DCC;BRSK1;APBB1;SPAST;WNT7A;APLP1;CELSR2;ATL1;LLGL1;SPG11;DSCAML1;AMIGO1;MAP1S;PARD6B;RAB10;OLIG2;SLITRK5;PRICKLE1;TRIM46	0.45505986738723	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_FTD_mean	heat_response	Heat response	-1.09377909596748	0.331658291457286	0.377708978328173	0.377708978328173	0.386934673366834	negative	25	-0.341120106725715	15416	EIF2B3;DNAJA1;SOD1;HSP90AA1;MTOR;MAP2K7;CRYAB;HSPB1;NOS1;DNAJA2;EIF2B4;PSIP1	0.0919686140000427	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_FTD_mean	mitochondrial_energy	Mitochondrial energy	-1.31471532449263	0.122033898305085	0.170847457627119	0.170847457627119	0.160169491525424	negative	21	-0.429257870299188	15416	UQCRB;COX4I1;COX7A2;COX6B1;COX5B;COX7C;UQCRH;C2orf69;COX6C;COX5A;MT-CO1	0.16440575583821	seven_family_primary_axis															
min30_primary	30	primary	Astro	ALS_vs_FTD_mean	protein_folding	Protein folding	-1.69771836550436	0.000187094094413113	0.00130965866089179	0.00130965866089179	0.000785795196535074	negative	149	-0.380526407725924	15416	PPIA;FKBP4;HSPH1;HSP90AB1;HSP90B1;PFDN2;COA3;FKBP8;PDIA4;DNAJA1;ZPR1;PDCL3;TBCC;HSPA4;CCT7;DNAJB1;DNAJB2;BAG2;DNAJB6;SACS;KHSRP;COX19;NFYC;HSP90AA1;TCP1;TBCE;TRAP1;ST13;PTGES3;CCT4;AHSA1;ZMYND10;ATPAF2;CHORDC1;PFDN6;GRPEL1;ERP44;CDC123;TAPBP;PDIA5;TBCD;DNAJC5;HSPA4L;PPID;CRYAB;HSPBP1;CCT6A;ERP29;HSPA8;HSPB1	0.518848077743792	seven_family_primary_axis															
