set_id	pval	padj	log2err	ES	NES	size	leadingEdge	set_label	cell_type	contrast	analysis_role	ranked_genes	n_samples	n_donors	duplicate_correlation	comparison_FDR	global_primary_FDR	supportive_global_FDR	transition_global_FDR	record_type	dataset_version_id	region	cohort_partition	donor_id
mitochondrial_energy	0.0000000002131550013017	0.0000000014920850091119	0.826657301178302	0.516890267559988	2.41436614497701	109	ATP5ME;NDUFA9;UQCRB;NDUFS5;COX7A2L;UQCR10;ATP5IF1;NDUFV1;COX7A1;NDUFS6;ATP5PD;NDUFA12;COX7B;DGUOK;PINK1;NDUFA3;NDUFS3;NDUFA6;ATP5F1E;COX7C;COX6C;COX4I1;UQCRH;NDUFB1;NDUFA5;NDUFA8;NDUFB8;ATP5MF;ATP5PO;GHITM;UQCRQ;NDUFAB1;TEFM;NDUFV3;ATP5F1B;NDUFA10;NDUFA2;SDHB;SLC25A51;NDUFS2;ATP5MG;COX5B;SDHD;ATP5F1C;NDUFB3;NDUFB4;COX5A;COX6B1;CHCHD2;NDUFB6;UQCRC1;NDUFC2;UQCRFS1;COX8A;NDUFAF1;NDUFB10;NDUFA7;ISCU;ATP5PF	Mitochondrial energy	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.0000000014920850091119	0.00000000177185094832038			family_result				
small_GTPase	0.0000000708936091594623	0.000000248127632058118	0.704975715167238	-0.329544550194868	-1.76097288861954	452	NOTCH2;DOCK11;MRAS;RAB30;F2RL1;RAPGEF2;TAX1BP3;RAB3GAP1;KANK1;F2R;ARHGAP5;AUTS2;SRC;RIPOR2;FBXO8;DENND1A;DOCK9;RAB9A;SRGAP2;GNA13;KCTD13;NCKAP1;SQSTM1;PICALM;SNTA1;ARRB1;KSR1;DOCK8;RALGPS2;RHOC;RHOA;STARD13;RALGAPB;DAG1;RB1;WNK1;TIAM2;CDC42EP4;RHOD;EPS8;FAM13A;ARHGEF4;CUL3;DOK3;BCAR3;SIPA1;KBTBD7;PLEKHG4B;ALS2;FGD4;ARHGAP26;ARHGAP35;CCNA2;ABCA1;FNTA;OPHN1;HACD3;DOK7;PLEKHG1;FAM13B;RIT1;ERBB2;RHOQ;HEG1;RAP1B;RIPOR1;ARHGAP12;CRKL;TNS3;ARL3;MCF2L;LRP4;FXR1;ARHGAP31;NUP62;SCAI;ARHGEF2;CSNK1E;RND2;KBTBD6;WNT5A;RACGAP1;RHOBTB1;SWAP70;SIPA1L1;ARHGEF10;TIAM1;RAB39A;CDKL5;RRAS2;PIK3CB;NF1;ARFGEF1;HACE1;ADCYAP1R1;DOCK7;GIT1;IQSEC1;ELMO1;PKP4;CHM;ABL1;CGNL1;RGS19;FARP1;RASGEF1C;CCDC125;DENND4C;PPP1CC;CYFIP1;DOCK1;RGL2;SOS2;CDC42EP1;RAC3;AIF1;RASA2;RAP1A;DOCK6;CSNK1A1;DOCK10;DOCK4;SIAH2;SPATA13;ARHGAP6;RRAGC;APOE;SH3BP4;SOS1;ARFGEF3;RTN4R;RAB18;RHOH;RAPGEF1;ARHGAP15;SYNPO2;FLCN;RHOG;RALGAPA1;RIN2;RAP1GAP2;NUCB2;SHTN1;PSD3;SH2D3C;G3BP1;RHEB;ROBO1;SIPA1L3;FGD2;RHOF;VAV3;RAP2A;NKIRAS1;PPP1CB;ITGAV;RALGPS1;EPHB2;SYNGAP1;BRAP;ABI2;LRRK2;DOCK3;RHOB;ARAP1;CDC42SE2;GIT2;PHACTR4;FGD3;DENND3	Small GTPase	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.000000248127632058118	0.000000325132759248568			family_result				
synapse_junction	0.00190473473307856	0.00444438104384997	0.45505986738723	-0.26310733461596	-1.40390393704989	441	GPM6B;GJA1;PARD3;RAPGEF2;SRGAP2C;OCLN;MDGA1;LIN7A;PTPRJ;SRC;ADGRL3;AMIGO2;SRGAP2;GNA13;SDK1;PTPRK;CRIPT;CDH2;CDH20;ANK2;NAE1;ERBB4;CTNNA1;TSPAN11;WDR1;FER;PATJ;RHOC;VCL;RHOA;SRGAP1;GABRG1;EFNA5;PCDH17;FAM107A;DAG1;MPDZ;CDH4;PLXNA3;PAK2;SPOCK2;RHOD;IGSF11;AGT;NECTIN3;JUP;TJP1;IKBKB;ZDHHC2;PARD6B;PLEC;OPHN1;ACE2;NRG3;AMOT;PTPN13;SDC2;TBCD;PDLIM5;RAP1B;CRKL;NPHP1;PRKCA;PECAM1;MPP7;GPM6A;PLXNB2;LRP4;TLN2;PTK2;PUM2;CLASP1;CORO1C;ADNP;WNT5A;GRIA1;PKP2;LSAMP;PIP5K1C;PLXNA1;MYO1C;LIMCH1;DNM3;NEGR1;AFDN;PCDHB16;SRGAP2B;GRID2;ELMO1;PKP4;PCDHB6;ABL1;FARP1;EFNB2;CPEB3;SDC4;DOCK1;SDK2;PCDHB13;RAC3;RAP1A;GJB6;SORBS1;PLXNA2;PKN2;DLG1;CLASP2;CUX2;AGRN;DOCK10;DOCK4;STRN;ARHGAP6;RTN4R;CLDN18;RAPGEF1;NLGN3;GJB2;FLCN;RHOG;S100A10	Synapse/junction	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.00444438104384997	0.00436775378447324			family_result				
axon_development	0.0485436893203884	0.0849514563106796	0.261663521711573	-0.232454623811815	-1.22196211510695	364	GPM6B;NOTCH2;PARD3;TSPO;NPTN;LGI1;LLGL1;SEMA3D;NRP2;BSG;PTPRJ;AUTS2;NTRK2;KIAA0319;FZD3;CSF1R;FYN;PICALM;CDH2;NFIB;ROBO4;BOC;CTNNA1;CNTN1;TENM3;EFNA5;DAG1;PLXNA3;PAK2;TIAM2;ENAH;LGR6;VIM;GRM7;PLEKHG4B;JUP;PTCH1;VASP;PARD6B;ARHGAP35;ZDHHC17;OPHN1;RAB10;NCAM1;CHODL;MARK2;MAP2;CTNNA2;PRKCA;DRAXIN;EPHA6;PLXNB2;LRP4;CERS2;VASH2;PTK2;PUM2;GRN;RUFY3;ATL1;ADNP;WNT5A;PALLD;KIF13B;SIPA1L1;SPAST;TIAM1;CDKL5;ECE1;VANGL2;MGARP;BAIAP2;DOCK7;ABL1;EFNB2;KREMEN1;ADAM17;CYFIP1	Axon development	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.0849514563106796	0.0884426120494747			family_result				
protein_stabilization	0.0935374149659864	0.130952380952381	0.190023305279108	-0.245785983788195	-1.22164346671882	208	SPAG1;EGLN3;PLPP3;WFS1;CLU;WIZ;MSX1;HSPA1B;ANK2;LAMP2;PARVA;EP300;HSPA1A;MCM8;BAG2;CBLB;LAMP1;HSPB1;HCFC1;CD74;TYROBP;FLNA;TRIM37;ATM;VHL;PPARGC1A;CBL;SEL1L;STXBP4;GRN;COG7;PTGES3;USP13;PPP1R10;TRIM44;PRKN;IFT46;CREBL2;HIP1;PDRG1;SAV1;CRYAB;TBL1X;CCT4;PAK4;GET1;BAG3;MTMR9;C10orf90;CALR;CCNH;RUVBL1;CREB1;ATP1B3;PEX19;MDM4	Protein stabilization	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.130952380952381	0.159493284493285			family_result				
heat_response	0.422459893048128	0.492869875222817	0.0819778796501272	-0.237180923388795	-1.01469093145556	78	HSPB2;HSPA2;HSPA1B;IRAK1;DNAJB4;EP300;HSPA1A;GCLC;HSPB1;ATM;CREBBP;DNAJB6;HMOX1;CXCL10;SIRT1;CRYAB;BAG3;ANO1;DNAJB1	Heat response	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.492869875222817	0.585282976827095			family_result				
protein_folding	0.522689075630252	0.522689075630252	0.0679922591544058	-0.196215250738152	-0.970111214660472	198	HSPB2;HSPA2;CLU;ZMYND10;APLF;HSPA1B;DNAJB4;CWC27;HSPA1A;BAG2;TAPBP;ST13;HSPB1;P4HB;CD74;CMC1;FKBP5;COX19;PDIA4;ERO1B;TBCD;CANX;PPIAL4G;QSOX1;DNAJB6;ATF6;GRN;CLPX;HSPA1L;PTGES3;WDR83OS;DNAJC5;HSPA5;NFYC	Protein folding	Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	20866	72	37	0.459689963681544	0.522689075630252	0.664335664335664			family_result				
mitochondrial_energy	0.0000000161953339309677	0.000000113367337516774	0.73376198835648	0.474104553562578	2.22522215436636	109	ATP5ME;NDUFS5;UQCRB;NDUFB1;COX7A1;NDUFS6;NDUFS3;ATP5PD;SDHD;NDUFA12;NDUFAB1;ATP5IF1;COX4I1;NDUFS2;UQCR10;ANTKMT;NDUFB8;UQCRH;COX7A2L;ATP5F1E;NDUFS8;PINK1;SNCA;COX6C;NDUFA3;NDUFAF1;NDUFA8;ATP5MF;NDUFC2;ATP5PF;UQCRQ;COX7C;UQCC2;NDUFV1;TEFM;NDUFA13;COX7B2;NDUFA1;NDUFB10;NDUFB9;NDUFA9;NDUFA5;NDUFA2;GHITM;NDUFA6;COX6B1;NDUFB7;UQCRC1;STOML2;PARK7;NUPR1;COX7B;COX5B;ATP5MG;NDUFB11;COX6A1;CHCHD2;NDUFS7;SIRT3;COX5A;NDUFA11;ISCU;SDHAF2;NDUFV3;ATP5PO;SDHA;ATP5F1B;CCNB1;NDUFB2;COX7A2;CYCS;COX8A;NDUFB4	Mitochondrial energy	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.000000113367337516774	0.0000000897491422007794			family_result				
small_GTPase	0.00180543621297946	0.00631902674542812	0.45505986738723	-0.251739300232908	-1.37334706733224	452	NOTCH2;NCKAP1;RAP1B;RAB30;EPS8;FBXO8;TAX1BP3;ARHGAP5;ARHGAP12;RAB21;RAB18;RAPGEF2;OPHN1;RASA2;AUTS2;ARFGEF1;ARHGEF12;ARFGEF3;KANK1;DENND4C;ERBB2;SQSTM1;RIT1;ITGAV;RALGPS2;RAB3GAP1;ARHGAP26;SHOC2;DOCK4;PICALM;DOCK11;RALGAPA1;CSNK1A1;SH3BP4;DOK7;PSD3;APOE;RALGAPB;SOS2;RHEB;MAP4K4;ABCA1;GRAP;ROBO1;RB1;RAPGEF6;FNTA;ROCK1;ARHGAP31;FERMT2;GNA13;RRAGC;NUCB2;FAM13B;ARHGAP32;RAP1A;MYO9A;ALS2;RHOC;RAB4A;HACD3;ARFGEF2;TIAM2;LRRK2;PPP1CB;ARHGEF2;NF1;DENND1A;KBTBD7;FAM13A;RGL1;HACE1;DAG1;ARHGAP19;FGD4;CHM;FXR1;RHOB;CGNL1;ARHGAP29;RDX;F2R;ARHGAP30;RIN2;MYO6;ARHGAP35;VAV3;CD2AP;OGT;RRAS2;RAB9A;G3BP1;SRC;CSNK1E;SPRY4;CTNNAL1;STARD13;PLEKHG4;AKAP13;DOCK5;RHOQ;F2RL1;DOCK7;DENND4A;GNA12;PREX2;DOCK9;ABL1;PLEKHG1;WNK1;RHOH;FARP1;CUL3	Small GTPase	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.00631902674542812	0.00421268449695208			family_result				
axon_development	0.0268369697543475	0.0496081254782112	0.352487857583619	0.228701758534968	1.26568900128072	364	BRSK2;PLP1;DRD2;LMO4;CDK5R2;NEXN;APOD;NELL2;EPHA3;WNT7A;BDNF;TUBB3;PGRMC1;SEMA4C;STXBP1;MAP1B;EPHB6;KIF5C;CCK;RGMA;PLPPR4;SEMA6C;L1CAM;NOTCH1;RAB3A;NEUROD6;NOTCH3;THY1;MAP6;FGF13;CNTNAP1;FLRT3;NTN1;CRTAC1;APP;BRSK1;GDI1;RTN4RL2;MAPT;SVBP;NOVA2;TAOK2;EVL;NEUROD2;APLP1;MCF2;SEMA5B;PLXND1;UNC5A;RTN4RL1;UNC5B;RAC1;TNFRSF21;TRIM46;WNT7B;TENM4;TWF2;MEGF8;CELSR1;MAG;MAPK8IP3;NREP;PRKCQ;SLITRK3;CDK5;SMN2;KIF5A;PRICKLE1;SLITRK4;EPHA10;DNM2;EFNA2;NTNG2;NECTIN1;SPP1;EPHB1;BCL11A;OLFM1;SEMA4G;MAP1S;CDK5R1;LLGL1;SSNA1;SEMA3F;ANAPC2;GAP43;MAP1A;RELN;TRPV2;SLIT3;PRKG1;MAP7D2;SKIL;EPHA5;DCLK1;ADGRB1;CTTN;ANK3;CHN1;SEMA7A	Axon development	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.0496081254782112	0.0517292315554815			family_result				
