set_id	pval	padj	log2err	ES	NES	size	leadingEdge	set_label	population	contrast	analysis_role	ranked_genes	n_samples	n_donors	duplicate_correlation	comparison_FDR	global_primary_FDR	record_type	leaveouts	full_NES	full_pval	full_comparison_FDR	full_global_primary_FDR	direction_retained_fraction	comparison_FDR_0_05_fraction	median_LOO_NES	min_LOO_NES	max_LOO_NES	max_absolute_delta_NES	main_ES	main_NES	main_pval	main_comparison_FDR	main_global_14test_FDR	main_size	main_ranked_genes	main_n_samples	main_n_donors	main_duplicate_correlation	complete_case_ES	complete_case_NES	complete_case_pval	complete_case_comparison_FDR	complete_case_global_14test_FDR	complete_case_size	complete_case_ranked_genes	complete_case_n_samples	complete_case_n_donors	complete_case_duplicate_correlation	complete_case_leadingEdge	delta_NES_complete_case_minus_main	abs_delta_NES	direction_concordant	main_global_significant	complete_case_global_significant	global_significance_retained	significant_direction_retained	sensitivity_interpretation
protein_folding	0.00206239500554799	0.014436765038836	0.431707695803346	-0.336333025406182	-1.58080199951498	135	PTGES3;P3H1;PDIA6;AHSA1;HSPA9;PDIA3;DNAJA3;HSPBP1;RIC8A;HSP90AB1;TBCD;HSP90B1;TOR1A;HSPH1;PPIA;PDIA4;ATPAF2;COX19;ZPR1;HSPA4L;GRPEL1;RIC8B;TRAP1;PFDN5;DNAJC2;LYRM7;RIC3;DNAJA4;CCT3;CDC123;CANX;CCT6A;RANBP2;LTBP4;NUDCD2;ERP29;ATF6;NUDCD3;ANP32E;DNAJC7;HSP90AA1;PPIG;DNAJC5;PPIL3;GAK;BAG5;TTC1;PPIL1;NFYC;HSPA4;CDC37;CLU	Protein folding	NEUNpos	FTD_vs_Ctrl_mean	primary_external_FTD	11081	27	9	0.216266399004745	0.014436765038836	0.014436765038836	primary_global_FDR_axis																																								
synapse_junction	0.0067001730190321	0.0234506055666124	0.407017918923954	0.411966282795789	1.64136717435404	56	SDK1;NRXN1;NRG3;PLXNA1;GRIA1;NLGN1;SDK2;ADGRL3;FLRT3;DSCAM;CDH2;NLGN4Y;PTEN;DRD1;GPM6A;ERBB4	Synapse / junction assembly	NEUNpos	FTD_vs_Ctrl_mean	primary_external_FTD	11081	27	9	0.216266399004745	0.0234506055666124	0.0312674740888165	primary_global_FDR_axis																																								
synapse_junction	0.00113314553415768	0.00793201873910374	0.45505986738723	0.457813685239278	1.79666714946723	52	NLGN1;CDH2;ADGRL3;OPHN1;NLGN4X;NRCAM;GRIA1;DSCAM;ZDHHC2;ERBB4;SDK1;RYK;NRG3;GPHN;NLGN3;NRXN1;DNER;SPOCK2;PCDHB9	Synapse / junction assembly	OLIG2pos	FTD_vs_Ctrl_mean	primary_external_FTD	10098	27	9	0.171585015775697	0.00793201873910374	0.014436765038836	primary_global_FDR_axis																																								
protein_folding								Protein folding	NEUNpos									matched_LOO	9	-1.58080199951498	0.00206239500554799	0.014436765038836	0.014436765038836	1	0.555555555555556	-1.52851452687353	-2.36252976694795	-0.880831202938736	0.781727767432965																													
synapse_junction								Synapse / junction assembly	NEUNpos									matched_LOO	9	1.64136717435404	0.0067001730190321	0.0234506055666124	0.0312674740888165	1	0.444444444444444	1.52768216681992	1.04419223037463	1.75235942802451	0.597174943979409																													
synapse_junction								Synapse / junction assembly	OLIG2pos									matched_LOO	9	1.79666714946723	0.00113314553415768	0.00793201873910374	0.014436765038836	1	0.555555555555556	1.65451488221203	1.26722979255748	1.97329463021941	0.529437356909754																													
protein_folding								Protein folding	NEUNpos									RIN_complete_case_sensitivity												-0.336333025406182	-1.58080199951498	0.00206239500554799	0.014436765038836	0.014436765038836	135	11081	27	9	0.216266399004745	-0.335894379791078	-1.55377240121583	0.00210389913030015	0.0147272939121011	0.0147272939121011	132	10963	26	9	0.219652384862735	PTGES3;P3H1;PDIA6;AHSA1;HSPA9;PDIA3;HSPBP1;DNAJA3;RIC8A;HSP90AB1;TBCD;HSP90B1;TOR1A;HSPH1;PPIA;COX19;PDIA4;ATPAF2;HSPA4L;TRAP1;GRPEL1;RIC8B;DNAJC2;PFDN5;LYRM7;RIC3;CDC123;DNAJA4;CCT3;CANX;RANBP2;CCT6A;PPIL3;LTBP4;NUDCD2;NUDCD3;ERP29;ATF6;DNAJC7;ANP32E;HSP90AA1;PPIG;DNAJC5;BAG5;GAK;TTC1	0.0270295982991469	0.0270295982991469	TRUE	TRUE	TRUE	TRUE	TRUE	global_significant_direction_retained
synapse_junction								Synapse / junction assembly	NEUNpos									RIN_complete_case_sensitivity												0.411966282795789	1.64136717435404	0.0067001730190321	0.0234506055666124	0.0312674740888165	56	11081	27	9	0.216266399004745	0.412877865397287	1.63848934879703	0.00844046503790999	0.029541627632685	0.0393888368435799	56	10963	26	9	0.219652384862735	SDK1;NRXN1;PLXNA1;GRIA1;NRG3;NLGN1;SDK2;ADGRL3;DSCAM;FLRT3;CDH2;NLGN4Y;PTEN;DRD1;ERBB4;GPM6A	-0.0028778255570141	0.0028778255570141	TRUE	TRUE	TRUE	TRUE	TRUE	global_significant_direction_retained
small_GTPase								Small GTPase	NEUNpos									RIN_complete_case_sensitivity												0.258309202679472	1.21946924712152	0.0894160583941606	0.208637469586375	0.25036496350365	157	11081	27	9	0.216266399004745	0.248815699548342	1.17952721354859	0.132295719844358	0.308690012970169	0.308690012970169	155	10963	26	9	0.219652384862735	DOCK8;ARHGEF28;ARHGAP18;ARHGAP12;SOS1;SYDE2;RGL2;ARHGAP21;PLCE1;ARHGAP6;RASGRP1;RASGEF1C;RALGPS2;RALGAPB;RAPGEF2;ARHGEF25;AKAP13;ARHGAP28;DOCK11;ARHGAP24;ARHGAP5;ARHGEF4;RABIF;CHN2;ARHGAP22;DOCK4;TIAM2;ARHGAP23;PREX2;DLC1;SIAH2;DOCK10;SWAP70;RIN2;RHOQ;DOCK9;ARHGEF3;ARHGAP25;ARHGAP31;RALBP1;DOCK3;RACGAP1	-0.0399420335729292	0.0399420335729292	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
protein_stabilization								Protein stabilization	NEUNpos									RIN_complete_case_sensitivity												-0.235241381069723	-1.14390028642629	0.154013015184382	0.269522776572668	0.308026030368764	171	11081	27	9	0.216266399004745	-0.233942177704061	-1.1245988055653	0.192546583850932	0.33695652173913	0.385093167701863	171	10963	26	9	0.219652384862735	PTGES3;FLOT2;CBX4;P3H1;USP27X;ATP1B3;MAPK8IP3;TTI1;DNAJA3;RASSF1;TRIM44;HSP90AB1;DVL3;CHP1;TRIM37;GAPDH;NLK;SMAD3;POLR2E;WDR81;TBL1X;PEX6;DVL1;STK3;USP36;PFDN5;MCM8;HERC2;PPP1CA;CCT3;MT3;USP33;PHB1;CCT6A;PINK1;PARK7;ATP1B2;PPARGC1A;RTN4;TAF1	0.0193014808609873	0.0193014808609873	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
