cohort	cohort_role	genetic_background	region	estimand	cell_type	gene	effect_scale	effect	se	ci_low	ci_high	p_value	adjusted_p	adjusted_p_scope	n_donors	source_file	direction	significant_adjusted_0_05	meta_eligible	meta_exclusion_reason
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	ARHGAP35	log2FC	-0.0456817675101422	0.213229720048696	-0.463612018805587	0.372248483785303	0.832347208159543	0.984314226178664	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	ARHGAP35	log2FC	-0.246554079866454	0.201466413179593	-0.641428249698456	0.148320089965548	0.225317087223274	0.759648786880085	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	ARHGAP39	log2FC	0.674841763372925	0.284646446529244	0.116934728175607	1.23274879857024	0.0271566335698291	0.478731909957945	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	ARHGAP39	log2FC	0.257139912717314	0.34411764405557	-0.417330669631603	0.931610495066231	0.457557529276717	0.86889197624114	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	BAG3	log2FC	0.710033819056168	0.446532308650379	-0.165169505898574	1.58523714401091	0.126488414680847	0.718547702765492	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	BAG3	log2FC	-0.905718018034194	0.427432534013539	-1.74348578470073	-0.0679502513676584	0.0379185482404519	0.563630827223094	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	BCR	log2FC	0.0267535163567336	0.180684105502071	-0.327387330427325	0.380894363140792	0.88364610257289	0.989584471191857	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	BCR	log2FC	0.179724537658106	0.244573772400383	-0.299640056246646	0.659089131562858	0.464997710451633	0.869490297184673	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	CCT5	log2FC	-0.263596691192215	0.986997055938547	-2.19811092083177	1.67091753844734	0.791974662859705	0.979539429103907	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	CCT5	log2FC	0.297327457931852	0.345970046104927	-0.380773832433805	0.975428748297509	0.393184610049477	0.843540130914235	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
