stem	extension	path	exists	bytes
Figure1	tiff	figures/Figure1.tiff	TRUE	7874516
Figure2	pdf	figures/Figure2.pdf	TRUE	58030
Figure2	svg	figures/Figure2.svg	TRUE	48126
Figure2	tiff	figures/Figure2.tiff	TRUE	1220362
Figure3	pdf	figures/Figure3.pdf	TRUE	60007
Figure3	svg	figures/Figure3.svg	TRUE	63873
Figure3	tiff	figures/Figure3.tiff	TRUE	1152296
Figure4	pdf	figures/Figure4.pdf	TRUE	69504
Figure4	svg	figures/Figure4.svg	TRUE	76128
Figure4	tiff	figures/Figure4.tiff	TRUE	1130648
Figure5	pdf	figures/Figure5.pdf	TRUE	62771
Figure5	svg	figures/Figure5.svg	TRUE	55702
Figure5	tiff	figures/Figure5.tiff	TRUE	970720
Figure6	pdf	figures/Figure6.pdf	TRUE	100935
Figure6	svg	figures/Figure6.svg	TRUE	83833
Figure6	tiff	figures/Figure6.tiff	TRUE	1716708
ExtendedDataFigure13	pdf	figures/ExtendedDataFigure13.pdf	TRUE	51004
ExtendedDataFigure13	svg	figures/ExtendedDataFigure13.svg	TRUE	69508
ExtendedDataFigure13	tiff	figures/ExtendedDataFigure13.tiff	TRUE	1378138
ExtendedDataFigure14	pdf	figures/ExtendedDataFigure14.pdf	TRUE	66035
ExtendedDataFigure14	svg	figures/ExtendedDataFigure14.svg	TRUE	59533
ExtendedDataFigure14	tiff	figures/ExtendedDataFigure14.tiff	TRUE	1034504
