path	columns	bytes
data/source_data/extended_figures/ExtendedDataFigure13_panel_a_source_data.tsv	3	104
data/source_data/extended_figures/ExtendedDataFigure13_panel_b_source_data.tsv	4	411
data/source_data/extended_figures/ExtendedDataFigure13_panel_c_source_data.tsv	34	105264
data/source_data/extended_figures/ExtendedDataFigure13_panel_d_source_data.tsv	35	7406
data/source_data/extended_figures/ExtendedDataFigure13_panel_e_source_data.tsv	2	130
data/source_data/extended_figures/ExtendedDataFigure14_panel_a_source_data.tsv	6	396
data/source_data/extended_figures/ExtendedDataFigure14_panel_b_source_data.tsv	13	2637
data/source_data/extended_figures/ExtendedDataFigure14_panel_c_source_data.tsv	6	742
data/source_data/extended_figures/ExtendedDataFigure14_panel_d_source_data.tsv	6	1198
data/source_data/extended_figures/ExtendedDataFigure14_panel_e_source_data.tsv	9	970
data/source_data/extended_figures/ExtendedDataFigure14_panel_f_source_data.tsv	10	1300
data/source_data/main_figures/Figure1_dataset_roles.tsv	5	642
data/source_data/main_figures/Figure1_evidence_roles.tsv	3	118
data/source_data/main_figures/Figure2_panel_a_source_data.tsv	30	48973
data/source_data/main_figures/Figure2_panel_b_source_data.tsv	27	14225
data/source_data/main_figures/Figure2_panel_c_source_data.tsv	29	100522
data/source_data/main_figures/Figure2_panel_d_source_data.tsv	23	37219
data/source_data/main_figures/Figure3_panel_a_source_data.tsv	21	3154
data/source_data/main_figures/Figure3_panel_b_source_data.tsv	19	8877
data/source_data/main_figures/Figure3_panel_c_source_data.tsv	23	44853
data/source_data/main_figures/Figure3_panel_d_source_data.tsv	23	2094
data/source_data/main_figures/Figure3_panel_e_source_data.tsv	18	63913
data/source_data/main_figures/Figure4_panel_a_source_data.tsv	7	11710
data/source_data/main_figures/Figure4_panel_b_source_data.tsv	4	806
data/source_data/main_figures/Figure4_panel_c_source_data.tsv	18	2787
data/source_data/main_figures/Figure4_panel_d_source_data.tsv	5	1016
data/source_data/main_figures/Figure4_panel_e_source_data.tsv	3	163
data/source_data/main_figures/Figure5_panel_a_source_data.tsv	18	22876
data/source_data/main_figures/Figure5_panel_b_source_data.tsv	17	55914
data/source_data/main_figures/Figure5_panel_c_source_data.tsv	14	194804
data/source_data/main_figures/Figure5_panel_d_source_data.tsv	17	3785
data/source_data/main_figures/Figure5_panel_e_source_data.tsv	4	2457
data/source_data/main_figures/Figure6_synthesis_source_data.tsv	5	1701
