gene	n_events	max_MAJIQ_abs_delta_PSI	min_LeafCutter_FDR	max_LeafCutter_abs_delta_PSI	coordinates_hg38	liu_2019_event_detected	ce_junction_coordinates_liu_2019	gittings_snrna_event_detected	distance_to_3prime_bp	primary_GSE219280_direct_splicing_test	primary_GSE219280_reason	evidence_tier	project_specific_conclusion	permitted_manuscript_label	prohibited_manuscript_claim	record_type	dataset	local_input	alignment_or_junction_input_available	de_novo_splicing_inference_possible	reproducible_secondary_extraction_possible	interpretation	brain_region	comparison	p_value	test	outcome	statistic_source	independently_recomputed	doi
KALRN	1	0.709	0.00000000000226	0.831	124700033-124702038	TRUE	chr3_124437093_124437210; chr3_124700033_124700977; chr3_124700033_124701093; chr3_124701255_124702038	TRUE	7820	not_testable	Only gene-level count/expression inputs are local; no read alignments, junction counts, transcript counts or PSI are available.	Tier B: strong human-neuronal TDP-43-loss splice event plus independent C9 snRNA junction detection	Independent published C9ORF72-spectrum snRNA data detected KALRN CE junctions, especially in C9-FTD. This supports a candidate TDP-43 dysfunction target but is not equivalent to an individual causal perturbation experiment in this project.	independent published event-level candidate cryptic-exon support	Do not state that our GSE219280 gene-expression or GSE219279 snATAC analysis demonstrated cryptic-exon inclusion or TDP-43 loss of function.	key_event_evidence														
STMN2	1	0.682	0.00000482	0.706	79611214-79636802	TRUE	chr8_79611214_79616822	TRUE	1805	not_testable	Only gene-level count/expression inputs are local; no read alignments, junction counts, transcript counts or PSI are available.	Tier A: established TDP-43-dependent cryptic-splicing target in human neurons/brain	Independent published C9ORF72-spectrum snRNA data provide event-level STMN2 CE support, including donor-level group tests; the present GSE219280 reanalysis itself did not measure splicing.	independent published event-level cryptic-exon support	Do not state that our GSE219280 gene-expression or GSE219279 snATAC analysis demonstrated cryptic-exon inclusion or TDP-43 loss of function.	key_event_evidence														
UNC13A	1	0.779	0.0000000117	0.836	17641556-17642845	TRUE	chr19_17641556_17642414; chr19_17642541_17642845; chr19_17653320_17655274	FALSE	5627	not_testable	Only gene-level count/expression inputs are local; no read alignments, junction counts, transcript counts or PSI are available.	Tier A: established TDP-43-dependent cryptic-splicing target in human neurons/brain	UNC13A is a pre-established mechanistic TDP-43 target. It was detected in prior bulk junction data but not in Gittings 3-prime-biased snRNA, and it was not directly testable in the present GSE219280 inputs.	established literature-based TDP-43 cryptic-splicing target; not directly validated here	Do not state that our GSE219280 gene-expression or GSE219279 snATAC analysis demonstrated cryptic-exon inclusion or TDP-43 loss of function.	key_event_evidence														
																capability_audit	GSE219280 primary snRNA	gene-by-cell count matrix plus gene-level published differential-expression tables	FALSE	FALSE	FALSE	Not testable from the current local GSE219280 inputs: a gene-count matrix cannot recover exon-exon junctions, transcript isoforms or PSI.								
																capability_audit	Gittings 2023 independent C9 spectrum	published event coordinates, snRNA detection calls, cell-type/group junction counts and author-reported statistics	TRUE	FALSE	TRUE	Formal event-level published evidence can be extracted and summarized, but this is independent published evidence rather than a reanalysis of raw reads.								
																capability_audit	Ma 2022 TDP-43-negative human neuronal nuclei	published MAJIQ/LeafCutter event table	TRUE	FALSE	TRUE	Formal TDP-43-loss event metrics can be extracted from the published supplementary table, but this is reference evidence rather than a new cohort analysis.								
STMN2																author_reported_donor_test							frontal cortex	C9-ALS-FTD vs Control	0.00048	Wilcoxon test	average CE junctions detected per subject	author-reported in Gittings 2023 Figure 1 caption	FALSE	10.1007/s00401-023-02599-5
STMN2																author_reported_donor_test							frontal cortex	C9-FTD vs Control	0.00079	Wilcoxon test	average CE junctions detected per subject	author-reported in Gittings 2023 Figure 1 caption	FALSE	10.1007/s00401-023-02599-5
STMN2																author_reported_donor_test							occipital cortex	C9-FTD vs Control	0.044	Wilcoxon test	average CE junctions detected per subject	author-reported in Gittings 2023 Figure 1 caption	FALSE	10.1007/s00401-023-02599-5
KALRN																author_reported_donor_test							frontal cortex	C9-FTD vs Control	0.00042	Wilcoxon test	average CE junctions detected per subject	author-reported in Gittings 2023 Figure 1 caption	FALSE	10.1007/s00401-023-02599-5
