GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
MAPT	17	43961748	44115700	857	8	79577	3.3007	0.00048228
COA3	17	40937165	40960722	43	9	63356	1.8977	0.028866
COX5B	2	98252503	98274846	31	7	79505	1.6703	0.047434
BAG3	10	121400882	121447331	193	35	79976	1.3194	0.09352
ARHGAP39	8	145744563	145921194	323	22	71522	1.075	0.14118
PARK7	1	8004351	8055565	120	20	79440	1.0184	0.15425
BCR	22	23511891	23670224	507	33	70475	0.88917	0.18696
CHORDC1	11	89924328	89966532	161	18	80062	0.53982	0.29466
COX7C	5	85903721	85926779	40	21	77975	0.49855	0.30905
MAP1B	5	71393061	71515395	349	63	78646	0.4278	0.3344
ARHGAP35	19	47411933	47518334	88	9	75204	0.166	0.43408
HSP90AB1	6	44204824	44231620	100	25	77761	0.031707	0.48735
CCT8	21	30418126	30456118	87	20	76323	0.020364	0.49188
DOCK7	1	62910399	63163969	492	24	77685	-0.3484	0.63623
HSP90AA1	14	102537075	102616036	202	24	79794	-0.49355	0.68919
STARD13	13	33667272	33934767	1014	84	79169	-0.78044	0.78243
CCT5	5	10240033	10276524	173	14	77655	-0.95005	0.82896
